"ProductCode","ProductDescription","AppendNote","SupplierHandle"
"SAR-BMBU-RYN-MSLN-PILLOWCA","The Bamboo Rayon Muslin Pillowcase Set adds Saranoni softness and texture to a bed, chair, or sofa. Made with lightweight, breathable bamboo-rayon muslin, it coordinates with the matching blanket collection while giving existing pillows a polished, comfortable update.

<!-- saranoni-supplier-copy -->
For years, your little ones have enjoyed the luxurious softness of our rayon from bamboo muslin blankets. The silky softness, durability and breathability are unmatched by any blanket. Now, with new stylish designs and Saranoni quality, this beautiful fabric is available in a pillowcase set. They are a perfect way to add comfort and style to any bed.

• Luxuriously Soft: 70% rayon from Bamboo, 30% cotton to ensure incredible softness and comfort.
• Feel: Every quilt is beautifully quilted and bound with a border to ensure your blanket will last for years.

• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this muslin.
• 4 Layers: 4x the thickness = 4x the softness. Our same soft, breathable fabric reinforced with three additional layers.
• Size: Queen/King Pillowcase Set 20"" x 36"" - comes with 2 pillowcases","appended","bamboo-rayon-muslin-pillowcase-set"
"SAR-BMBU-RYN-MSLN-QUEEN-KING","The Bamboo Rayon Muslin Queen/King 4-Layer Quilt is designed for indulgent everyday comfort. Four airy layers of bamboo-rayon muslin create breathable softness with a cozy quilted feel. Its queen/king format for generously layered bedding makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
For years, your little ones have enjoyed the luxurious softness of our rayon from bamboo muslin blankets. The silky softness, durability and breathability are unmatched by any blanket. Now, with new stylish designs and Saranoni quality, this oversized quilt is perfect for adults. This is a blanket for all seasons. It is perfect for cuddling, or as an accent on the bed.

• Luxuriously Soft: 70% rayon from Bamboo, 30% cotton to ensure incredible softness and comfort.
• Feel: Every quilt is beautifully quilted and bound with a border to ensure your blanket will last for years.

• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this muslin.
• 4 Layers: 4x the thickness = 4x the softness. Our same soft, breathable fabric reinforced with three additional layers.
• Size: Queen/King 82"" x 96"" - Fits best on a Queen bed but is still a great blanket for a King bed. Fits a Queen bed with 11"" overhang on each side and 16"" overhang on the bottom. Can also be used on a King sized bed with 3"" overhang on each side and 16"" overhang on the bottom.","appended","bamboo-rayon-muslin-queen-king-4-layer-quilt"
"SAR-BMBU-RYN-MSLN-XL-LG-4","The Bamboo Rayon Muslin XL 4-Layer Quilt is designed for indulgent everyday comfort. Four airy layers of bamboo-rayon muslin create breathable softness with a cozy quilted feel. Its oversized XL format for couch, bed, and full-body snuggling makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
What could be better than our original airy and oh-so-soft muslin fabric? Times it by four! The soft and supple muslin fabric made from bamboo is now layered into this four-layer muslin quilt. Perfect for those muslin-lovers that want a little something extra. Available in a variety of our custom-made prints, detailed with a stitched quilted design and then bound with a one-inch border; this blanket is sure to become a favorite snuggle companion everywhere you go. 

• Luxuriously Soft: 70% rayon from Bamboo, 30% cotton to ensure incredible softness and comfort.
• Feel: Every quilt is beautifully quilted and bound with a border to ensure your blanket will last for years.

• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this muslin.
• 4 Layers: 4x the thickness = 4x the softness. Our same soft, breathable fabric reinforced with three additional layers.
• Size: Extra Large 60"" x 80""","appended","bamboo-rayon-muslin-extra-large-4-layer-quilt"
"SAR-BOY-WHO-LIVED-DBL-LAYER","The The Boy Who Lived Double-Layer Bamboni® Blanket combines The Boy Who Lived artwork with premium Saranoni construction. Two layers of saranoni’s light, stretchy bamboni® fabric create breathable warmth with a soft drape. It adds character-inspired style while keeping the soft, comforting feel expected from Saranoni.

<!-- saranoni-supplier-copy -->
The Boy Who Lived™ -Double Layer Bamboni: Harry’s tell-tale scar, and signature spectacles are featured on Saranoni’s double layer as a timeless, reversible cream and charcoal print!","appended","the-boy-who-lived-double-layer-bamboni"
"SAR-CHNK-KNT-LG","The Chunky Knit Large Throw Blanket is designed for indulgent everyday comfort. A substantial 100% chenille knit gives this blanket comforting weight while maintaining a soft, decorative texture. Its throw size for sofas, chairs, and everyday lounging makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Chunky Knit is the perfect combination of style and comfort. It makes for a beautiful throw on a couch or bed but is soft enough to snuggle up in.

• Luxuriously Soft: 100% poly microfiber to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy and cuddly, with hearty durable construction. Feeling is Believing.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Large Throw 54"" x 72""","appended","chunky-knit-large-throw"
"SAR-COTTON-MSLN-4-LAYER","The Cotton Muslin 4-Layer Quilt is designed for indulgent everyday comfort. Four layers of 100% cotton muslin provide breathable comfort and a softly quilted finish. Its versatile everyday size makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
A durable, yet soft boutique-quality fabric combination that is created to last. These complimentary patterns have two additional muslin/cotton layers between them making them thicker, warmer and more structured yet still airy, breathable and Saranoni soft. We like to consider this the perfect next step when your baby has outgrown their  swaddle set; giving you both patterns in one blanket. The 47"" x 47"" size will give your little one plenty of coverage as they grow.

• Luxuriously Soft: 100% cotton to ensure incredible durability and comfort.
• Feel: Every quilt is beautifully quilted and bound with a border to ensure your blanket will last for years.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this muslin.
• 4 Layers: 4x the thickness = 4x the softness. Our same soft, breathable fabric reinforced with three additional layers.
• Size: Generously Sized at 47"" x 47""

 Pair this quilt with matching crib sheets, changing pad, and 2-pack swaddle blankets.","appended","cotton-muslin-4-layer-quilt"
"SAR-COZY-BMB-ROBES","The Cozy Bamboni® Robe brings Saranoni’s Bamboni® comfort into an easy layer for slow mornings and relaxed evenings. It is designed with cloud-soft, breathable warmth, creating a wearable piece that feels polished while staying exceptionally cozy.

<!-- saranoni-supplier-copy -->
Perfect for chilly mornings or cozy evenings! This luxuriously soft Bamboni ® Robe is the ultimate lounging accessory. Our cloud-like fabric is made from bamboo fibers that are converted to rayon to create a soft, fluffy and breathable bathrobe that is sure to bring warmth and comfort. Available in French Rose, Gray, Ivory, or Taupe you can find one that suits your style, or send it as a gift to a loved one. Ideal for men and women, this unisex bathrobe features a full-length design and a classic look for the utmost in style and comfort.","appended","cozy-bamboni-robe"
"SAR-DBL-LAYER-BMB-TOD","The Double-Layer Bamboni® Toddler Blanket is designed for indulgent everyday comfort. Two layers of saranoni’s light, stretchy bamboni® fabric create breathable warmth with a soft drape. Its toddler size for naps, bedtime, and travel makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Envelop yourself in warmth and softness with this Bamboni ® blanket. The breathable and stretchy fabric is sure to soothe your little one. And the Toddler to Teen size ensures that as your baby grows, so can the blanket. Find comfort and connection with the help of this luxurious throw from Saranoni.

• Bamboo + Saranoni = Bamboni ® . These cloud-like blankets are made from bamboo fibers that are converted to rayon to create a soft, fluffy and breathable blanket that is sure to bring warmth and comfort to your home.
• Incredibly Breathable: 80% poly microfiber and 20% rayon from bamboo.
• Feel: Super soft, cuddly and lightweight. Feeling is Believing ® .
• High-quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Toddler 40"" x 60"" - Great travel blanket, perfect for ages 3 to 11.","appended","double-layer-bamboni-toddler-blanket"
"SAR-DBL-RCH-FX-FUR","The Double Ruched Faux Fur Throw Blanket is designed for indulgent everyday comfort. A rippled ruched lush surface is paired with silky minky on the reverse, creating an indulgent blanket with two distinct textures. Its throw size for sofas, chairs, and everyday lounging makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Our Double Ruched throws feature our best-selling faux fur on both sides with ruched detail in a ripple effect that creates a soft textured feel. Put that all together and you have one irresistible-to-the-touch blanket to snuggle up with all year long. The luxurious blanket is sure to be loved by all.

• Luxuriously Soft: 100% poly microfiber to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Throw 50"" x 60""","appended","ruched-minky-throw-blanket"
"SAR-DBL-RCH-FX-FUR-XL-LG","The Double Ruched Faux Fur XL Throw Blanket is designed for indulgent everyday comfort. A rippled ruched lush surface is paired with silky minky on the reverse, creating an indulgent blanket with two distinct textures. Its oversized XL format for couch, bed, and full-body snuggling makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Our Double Ruched XL throws feature our best-selling faux fur on both sides with ruched detail in a ripple effect that creates a soft textured feel. Put that all together and you have one irresistible-to-the-touch blanket to snuggle up with all year long. The luxurious blanket is sure to be loved by all.

• Luxuriously Soft: 100% poly microfiber to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: XL 60""x80""","appended","ruched-minky-extra-large-throw-blanket"
"SAR-ELF-SNUGGLER","The ELF™ Snuggler combines a roomy blanket-hoodie shape with plush fabric and a character-inspired design. The oversized wearable design is made for curling up, relaxing, and staying warm hands-free.

<!-- saranoni-supplier-copy -->
The oversized hoodie of your dreams meets the Saranoni blanket you hate taking off! Complete with toasty pockets, a richly lined interior and a cozy lined hood, this ultra-soft faux fur Saranoni Snuggler is just like wearing your favorite Saranoni blanket turned hoodie! Available in youth, teen and adult sizes, because we get it–the family that snuggles together, stays together!

 Youth: 28 inches long x 30 inches wide

 Teen: 31.5 inches long x 32 inches wide

 Adult: 38 inches long x 35 inches wide","appended","elf-snuggler"
"SAR-FX-FUR-PILLOWCA","The Faux Fur Pillowcase adds Saranoni softness and texture to a bed, chair, or sofa. Made with soft 100% polyester faux fur, it coordinates with the matching blanket collection while giving existing pillows a polished, comfortable update.

<!-- saranoni-supplier-copy -->
Our Faux Fur is the pillowcase that everyone will love to snuggle up in.

• Luxuriously Soft: 100% lush poly microfiber to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Queen Pillowcase Set 20""x 36"", King Pillowcase Set 20""x40""- comes with 2 pillowcases","appended","faux-fur-pillowcase"
"SAR-GRAND-FX-FUR","The Grand Faux Fur Throw Blanket is designed for indulgent everyday comfort. Saranoni’s exceptionally plush grand faux fur delivers deep softness, rich texture, and statement-making comfort. Its throw size for sofas, chairs, and everyday lounging makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Experience the height of luxury with our Grand Faux Fur Collection. Inspired by classic, high-end design, each piece brings an inspired sophistication to your space. Available in six stunning styles—Arctic Hare, Fawn, Chinchilla, Timberwolf, Midnight Plaid, and Truffle Plaid—this collection includes plush Blankets, elegant Tree Skirts, and coordinating Stockings. Designed to be both statement pieces and timeless heirlooms, each item transforms your home into a haven of comfort and style.","appended","grand-faux-fur-throw-blankets-new"
"SAR-GRAND-FX-FUR-12X20","The Grand Faux Fur 12"" x 20"" Pillow Cover adds Saranoni softness and texture to a bed, chair, or sofa. Made with exceptionally plush faux fur, it coordinates with the matching blanket collection while giving existing pillows a polished, comfortable update.

<!-- saranoni-supplier-copy -->
Grand Faux Fur 12x20 Pillow Covers - Our Grand Faux Fur Pillow Covers are created with top-quality materials and the result is a luxuriously dense, yet breathable fabric perfect for sensitive skin, and of course, snuggles!","appended","grand-faux-fur-12x20-pillow-cover"
"SAR-GRAND-FX-FUR-2-PACK-EURO","The Grand Faux Fur 2-Pack Euro Pillow Cover Set adds Saranoni softness and texture to a bed, chair, or sofa. Made with exceptionally plush faux fur, it coordinates with the matching blanket collection while giving existing pillows a polished, comfortable update.

<!-- saranoni-supplier-copy -->
Grand Faux Fur 2-Pack European Pillow Covers - When in doubt, it’s pillows, pillows, pillows! Our two-pack European Pillow covers are the perfect way to add class and comfort to your space in one fell swoop! Our Grand Faux Fur Pillow Covers are made with custom knit fabric making them cozily functional as well as stylish!","appended","grand-faux-fur-2-pack-euro-pillow-covers"
"SAR-GRAND-FX-FUR-KING","The Grand Faux Fur King Blanket is designed for indulgent everyday comfort. Saranoni’s exceptionally plush grand faux fur delivers deep softness, rich texture, and statement-making comfort. Its king-size format for layered bedding makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Knit from the finest materials, this blanket   is sure to be an amazing accent to any bed or living space. With unmatched softness, prepare to melt away into the softest blanket you’ve ever felt. Our hand-picked, custom knit, proprietary fabric is silkier than ever. The Saranoni Grand delivers double-sided comfort and luxury like you’ve never felt before. We’ve heard you and designed an amazing, oversized blanket perfect for any bedding needs. Both King and Queen sizes provide total coverage with a 16-inch drop to cover the sides of even the largest mattresses. This unique, faux fur fiber is durable and will be your favorite piece of bedding for years to come.

• Luxuriously Soft: 100% poly microfiber to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: King 104"" x 88.5""","appended","grand-faux-fur-king-blanket"
"SAR-GRAND-FX-FUR-QUEEN","The Grand Faux Fur Queen Blanket is designed for indulgent everyday comfort. Saranoni’s exceptionally plush grand faux fur delivers deep softness, rich texture, and statement-making comfort. Its queen-size format for layered bedding makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Knit from the finest materials, this blanket   is sure to be an amazing accent to any bed or living space. With unmatched softness, prepare to melt away into the softest blanket you’ve ever felt. Our hand-picked, custom knit, proprietary fabric is silkier than ever. The Saranoni Grand delivers double-sided comfort and luxury like you’ve never felt before. We’ve heard you and designed an amazing, oversized blanket perfect for any bedding needs. Both King and Queen sizes provide total coverage to cover the sides of even the largest mattresses. This unique, faux fur fiber is durable and will be your favorite piece of bedding for years to come.

• Luxuriously Soft: 100% poly microfiber to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Queen 88"" x 70""","appended","grand-faux-fur-queen-blanket"
"SAR-GRAND-FX-FUR-XL-LG","The Grand Faux Fur XL Throw Blanket is designed for indulgent everyday comfort. Saranoni’s exceptionally plush grand faux fur delivers deep softness, rich texture, and statement-making comfort. Its oversized XL format for couch, bed, and full-body snuggling makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Experience the height of luxury with our Grand Faux Fur Collection. Inspired by classic, high-end design, each piece brings an inspired sophistication to your space. Available in six stunning styles—Arctic Hare, Fawn, Chinchilla, Timberwolf, Midnight Plaid, and Truffle Plaid—this collection includes plush Blankets, elegant Tree Skirts, and coordinating Stockings. Designed to be both statement pieces and timeless heirlooms, each item transforms your home into a haven of comfort and style.","appended","grand-faux-fur-xl-throw-blankets-new"
"SAR-HEIRLOOM-COTTON-KNT-SETS","The Heirloom Cotton Knit Set pairs timeless styling with breathable cotton comfort. Soft knit construction, relaxed shaping, and refined details make it suitable for everyday wear or special occasions.

<!-- saranoni-supplier-copy -->
The best of cotton! These heirloom quality, 100% cloud-soft cotton sets are the perfect elevated comfort staple. Breathable waistbands, loosely fitted sleeves and elevated button details create a timeless, comfortable look for your child!","appended","heirloom-cotton-knit-sets"
"SAR-HP-HP-ICONS-MNKY-LUSH","The Harry Potter™ Icons Minky/Lush Blanket combines Harry Potter™ artwork with premium Saranoni construction. One side features saranoni’s buttery-soft lush fabric while the reverse uses silky printed minky for a smooth, dual-texture finish. It adds character-inspired style while keeping the soft, comforting feel expected from Saranoni.

<!-- saranoni-supplier-copy -->
Harry Potter™ Icons-Minky/Lush: Harry Potter™ Icons: Your solution to that just post match chill. Featuring, for the first time ever, two signature luxury fabrics—Minky and Lush!","appended","harry-potter-icons-minky-lush"
"SAR-PTRN-FX-FUR-XL-LG","The Patterned Faux Fur XL Throw Blanket is designed for indulgent everyday comfort. Smooth faux-fur-like lush fabric, a sewn-in border, and a fluid pattern create elegant texture with a soft, structured drape. Its oversized XL format for couch, bed, and full-body snuggling makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Saranoni creates Boutique-Quality blankets made by hands we have personal relationships with. This Extra Large Throw blanket will transform your home's look with its luxurious style and design. Made from only the highest quality materials, this blanket will be a fixture in your home for years to come. Saranoni Luxury Blankets. Feeling is believing.

• Luxuriously Soft: 100% lush poly microfiber to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Extra Large 60"" x 80"" - Large enough to cover the entire surface of a queen sized bed!","appended","patterned-faux-fur-extra-large-throw-blanket"
"SAR-RIBBED-BMB-QUEEN-KING","The Ribbed Bamboni® Queen/King Blanket is designed for indulgent everyday comfort. Saranoni’s breathable bamboni® blend is finished with a ribbed texture that adds visual dimension without sacrificing stretch or softness. Its queen/king format for generously layered bedding makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
We love this Ribbed Bamboni ® Queen/King Blanket! The quality of the fabric and construction delivers a blanket that is immediately felt and appreciated. Treat yourself, or someone you know, with the gift of comfort that comes from a Saranoni Ribbed Bamboni ® blanket.

• Incredibly Breathable: 100% poly microfiber
• Feel: Super soft, cuddly and lightweight. Feeling is Believing ® .
• High-quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Queen/King 104"" x 70"" - Perfect for a King bed, with a 14 inch overhang on the sides and an 8.5 inch overhang on the bottom.","appended","ribbed-bamboni-king-blanket"
"SAR-RIBBED-BMB-XL-LG","The Ribbed Bamboni® XL Blanket is designed for indulgent everyday comfort. Saranoni’s breathable bamboni® blend is finished with a ribbed texture that adds visual dimension without sacrificing stretch or softness. Its oversized XL format for couch, bed, and full-body snuggling makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
We love this Ribbed Bamboni ® Extra Large Blanket! The quality of the fabric and construction delivers a blanket that is immediately felt and appreciated. Treat yourself, or someone you know, with the gift of comfort that comes from a Saranoni Ribbed Bamboni ® blanket.

• Incredibly Breathable: 100% poly microfiber
• Feel: Super soft, cuddly and lightweight. Feeling is Believing ® .
• High-quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Extra Large 60"" x 80"" - Large enough to cover the entire surface of a queen sized bed!","appended","ribbed-bamboni-extra-large-blanket"
"SAR-SATIN-BACK-TOD","The Satin Back Toddler Blanket is designed for indulgent everyday comfort. Plush lush fabric on the front is paired with a smooth satin back, giving little ones two soothing textures to enjoy. Its toddler size for naps, bedtime, and travel makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Who said only babies can enjoy satin? With our lush fabric on one side and our custom-designed satin print on the other, you'll never have to outgrow your baby blanket. It truly is a match made in heaven!

• Luxuriously Soft: 100% lush poly microfiber with silky satin back to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High-quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Toddler 40"" x 60"" - Great travel blanket, perfect for ages 3 to 11.","appended","satin-back-toddler-blanket"
