productcode,productdescription
TMH-MAT-PINK-ISLAND-BORDER-MAT,"<p>Dive into the beauty of the tropics with our Island Collection Mahjong Mat. Featuring a vibrant palette of tropical colors and an elegant border adorned with seashells and ocean-inspired designs, this mat brings the serenity of the seaside to your game. Perfect for creating a relaxed, breezy vibe, it’s an ideal backdrop for any Mahjong gathering. Let the soothing coastal charm of this mat transport you to your favorite island getaway with every hand.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a branded MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-MAT-PINK-MAT,"<p>Bring double the elegance to your game with our brand new reversible mahjong mat. That's two beautiful mats in one! One side features a delicate peony design in corals and reds on a light pink field. The other side is our Mahjong House flower border in coral on a pink field. This mat creates a stunning backdrop, especially to any tiles in our House Collection, adding warmth and charm to every game. Mats at The Mahjong House are designed to make each hand feel as special as the last.</p>
<p>Materials: Spandex & Rubber; Machine Washable: Dimensions: 31.5"" x 31.5""</p>"
TMH-MAT-PLUM-GARDEN-MAT,"<p>Bring twice the brightness to your game with our Plum Garden Double-Sided Mahjong Mat. One side features a pattern of our signature colorful butterfly dragons and the other side a caning graphic created with our TMH initials. This mat creates a stunning backdrop, especially to our Brights! Plum House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding style and whimsy to every colorful game.</p>"
TMH-MAT-PLUM-TRELLIS-MAT,"<p>Bring twice the vibrance to your game with our Plum Trellis Double-Sided Mahjong Mat. This fun, trellis-inspired design is an abstraction of the initials MH for Mahjong House. One side features a multi-colored pattern on a lilac backdrop and the other reflects the colors of the Plum tile. This mat creates a stunning backdrop, especially to our Brights! Plum House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding an extra splash of color to every game.</p>"
TMH-MAT-PURP-RED-FLWR-BDR,"<p>Elevate your Mahjong experience with our stunning mat, adorned in lovely purple & red hues and featuring an elegant floral border. This beautifully designed mat provides the perfect backdrop for your game, enhancing every tile with a touch of refined style.</p>"
TMH-MAT-PURP-RED-GRN,"<p>Elevate your Mahjong experience with our stunning mat, adorned in lovely purple & red hues and featuring an elegant floral border. This beautifully designed mat provides the perfect backdrop for your game, enhancing every tile with a touch of refined style.</p>"
TMH-MAT-RUBY-GEM-MAT,"<p>Bring twice the brilliance to your game with our Ruby Gem Double-Sided Mahjong Mat. One side features one large faceted ruby and the other side a pattern of all of our Jewel Collection jewels. This mat creates a stunning backdrop, especially to our Jewels! Ruby House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding many interesting facets to every jewel of a game.</p>"
TMH-MAT-RUBY-TABLE-MAT,"<p>Pull up a chair and bring twice the style to your game with our Ruby Table Double-Sided Mahjong Mat. This elegant, minimalist tone-on-tone design is inspired by the traditional table set up for a game of mahjong. One side features one large shape and the other side a pattern of four. This mat creates a stunning backdrop, especially to our Jewels! Ruby House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding luster to every game.</p>"
TMH-MAT-SAPPHIRE-GEM-MAT,"<p>Bring twice the brilliance to your game with our Sapphire Gem Double-Sided Mahjong Mat. One side features one large faceted sapphire and the other side a pattern of all of our Jewel Collection jewels. This mat creates a stunning backdrop, especially to our Jewels! Sapphire House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding many interesting facets to every jewel of a game.</p>"
TMH-MAT-SAPPHIRE-TABLE-MAT,"<p>Pull up a chair and bring twice the style to your game with our Sapphire Table Double-Sided Mahjong Mat. This elegant, minimalist tone-on-tone design is inspired by the traditional table set up for a game of mahjong. One side features one large shape and the other side a pattern of four. This mat creates a stunning backdrop, especially to our Jewels! Sapphire House Tiles, but is designed to mix-and-match with any tiles in the Jewels House Collection, adding luster to every jewel of a game.</p>"
TMH-MAT-TEAL-GARDEN-MAT,"<p>Bring twice the brightness to your game with our Teal Garden Double-Sided Mahjong Mat. One side features a pattern of our signature colorful butterfly dragons and the other side a caning graphic created with our TMH initials. This mat creates a stunning backdrop, especially to our Brights! Teal House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding style and whimsy to every colorful game.</p>"
TMH-MAT-TEAL-TRELLIS-MAT,"<p>Bring twice the vibrance to your game with our Teal Trellis Double-Sided Mahjong Mat. This fun, trellis-inspired design is an abstraction of the initials MH for Mahjong House. One side features a multi-colored pattern on a teal backdrop and the other reflects the colors of the Lilac tile. This mat creates a stunning backdrop, especially to our Brights! Teal House Tiles, but is designed to mix-and-match with any tiles in the Brights House Collection, adding an extra splash of color to every game.</p>"
TMH-MAT-TURQUOISE-FLOWER-MAT,"<p>Bring energy and style to your game with our Original Mahjong Mat Collection, featuring vibrant and playful designs that transform any table into a game-ready setting. These eye-catching mats add personality to your table, setting the perfect tone for an unforgettable Mahjong experience.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-MAT-YELLOW-ISLAND,"<p>Dive into the beauty of the tropics with our Island Collection Mahjong Mat. Featuring a vibrant palette of tropical colors and an elegant border adorned with seashells and ocean-inspired designs, this mat brings the serenity of the seaside to your game. Perfect for creating a relaxed, breezy vibe, it’s an ideal backdrop for any Mahjong gathering. Let the soothing coastal charm of this mat transport you to your favorite island getaway with every hand.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-RACK-BLK-MOP,"<p>Elevate your Mahjong game with our black mother of pearl acrylic magnetic Mahjong Racks—an elegant, modern twist on a must-have playing tool. Crafted from lightweight acrylic, these racks are durable, easy to handle, and fit walls of up to 20 tiles, making them perfect for any game. They blend seamlessly with any decor, adding a touch of sophistication to your game table. The magnetic pusher adds to the versatility too. These are a beautiful mother of pearl pattern designed to match The Deco Collection Tiles, but work beautifully with countless combinations of tiles or mats in our collection</p>"
TMH-RACK-CLEAR-RACKS,"<p>Elevate your Mahjong game with our clear acrylic magnetic Mahjong Racks—an elegant, modern twist on a must-have playing tool. Crafted from lightweight acrylic, these racks are durable, easy to handle, and fit walls of up to 20 tiles, making them perfect for any game. They blend seamlessly with any decor, adding a touch of sophistication to your game table. The magnetic pusher adds to the versatility too. These are clear, so they go with literally any tiles or mats, so let's play!</p>"
TMH-RACK-DUSTY-BLUE-RACKS,"<p>Elevate your Mahjong game with our dusty blue acrylic magnetic Mahjong Racks—an elegant, modern twist on a must-have playing tool. Crafted from lightweight acrylic, these racks are durable, easy to handle, and fit walls of up to 20 tiles, making them perfect for any game. They blend seamlessly with any decor, adding a touch of sophistication to your game table. The magnetic pusher adds to the versatility too. These are a beautiful blue designed to work beautifully with any tiles and mats in our original House Collection or The House Collection: Brights!</p>"
TMH-RACK-GREEN-RACKS,"<p>Elevate your Mahjong game with our green acrylic magnetic Mahjong Racks—an elegant, modern twist on a must-have playing tool. Crafted from lightweight acrylic, these racks are durable, easy to handle, and fit walls of up to 20 tiles, making them perfect for any game. They blend seamlessly with any decor, adding a touch of sophistication to your game table. The magnetic pusher adds to the versatility too. These are a rich, dark green designed to work beautifully with any tiles and mats in our House Collection. So let's play!</p>"
TMH-RACK-NAVY-RACKS,"<p>Elevate your Mahjong game with our navy acrylic magnetic Mahjong Racks—an elegant, modern twist on a must-have playing tool. Crafted from lightweight acrylic, these racks are durable, easy to handle, and fit walls of up to 20 tiles, making them perfect for any game. They blend seamlessly with any decor, adding a touch of sophistication to your game table. The magnetic pusher adds to the versatility too. These are navy (which we consider a neutral) so there’s no limit to the tiles and mats they’ll match beautifully with. Let's play!</p>"
TMH-RACK-TORTOISE-RACKS,"<p>Elevate your Mahjong game with our tortoise acrylic magnetic Mahjong Racks—an elegant, modern twist on a must-have playing tool. Crafted from lightweight acrylic, these racks are durable, easy to handle, and fit walls of up to 20 tiles, making them perfect for any game. They blend seamlessly with any decor, adding a touch of sophistication to your game table. The magnetic pusher adds to the versatility too. These are a beautiful tortoise pattern work beautifully with countless combinations of tiles and mats in our collection.</p>
<p><strong>Please note: While the tortoise and white mother of pearl racks go beautifully with the Mod and Deco tiles respectively, the racks and the tiles are not an exact match.</strong></p>"
TMH-RACK-WHT-MOP,"<p>Elevate your Mahjong game with our white mother of pearl acrylic magnetic Mahjong Racks—an elegant, modern twist on a must-have playing tool. Crafted from lightweight acrylic, these racks are durable, easy to handle, and fit walls of up to 20 tiles, making them perfect for any game. They blend seamlessly with any decor, adding a touch of sophistication to your game table. The magnetic pusher adds to the versatility too. These are a beautiful mother of pearl pattern designed to work beautifully with countless combinations of tiles and mats in our collection.</p>
<p><strong>Please note: While the tortoise and white mother of pearl racks go beautifully with the Mod and Deco tiles respectively, the racks and the tiles are not an exact match.</strong></p>"
TMH-TILE-BLU-WHT-HOUSE,"<p>Celebrate life’s most beautiful moments with the <strong>House </strong><b>Tile Set</b>, part of our signature <b>House Collection</b>. This one-of-a-kind set transforms your game night into a work of art, featuring intricately designed tiles adorned with majestic peacocks, vibrant butterflies, and delicate florals. Each tile is a testament to the joy and beauty that inspired our founder, Stacey, and her lifelong passion for play.</p>
<p>Rooted in cherished memories of summers at Agate Lake, family trips to Watercolor on 30A, and laughter-filled nights in Michigan, Minnesota, and beyond, this collection brings Stacey’s favorite things to your table. It’s more than a mahjong set—it’s a tribute to the timeless tradition of gathering with loved ones and creating lasting memories.</p>
<p>Crafted with exquisite detail, every tile and hue reflects the thoughtful design and celebration of life that defines the House Collection. Pretty enough to display and meaningful enough to treasure, this set turns any game into an occasion worth remembering.</p>
<p>Material: Acrylic</p>
<p>Dimensions: Each tile is 1"" x 1 & 7/16"" x 7/16""</p>
<p>Weight: Approx. 5 lbs total</p>
<p>INCLUDED: 1 set of 160 mahjong tiles (36 dots, 36 bams, 36 craks, 8 flowers, 16 winds, 4 white dragons/soaps, 4 green dragons, 4 red dragons, 10 jokers, 6 blanks) 1 tile guide 1 player’s guide to mahjong</p>"
TMH-TILE-BLUE-ISLAND-TILES,"<p>Aruba, Jamaica, oooh I wanna to take you... wherever your little heart desires. Our Island Tile Set, with its 160 exquisitely crafted tiles in stunning ocean hues, will transport you straight to your favorite beach paradise. Perfect for those who long for the sea breeze and sandy shores, this set is a must-have for any beach lover seeking a touch of paradise with every game.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-TILE-BRIGHTS-ELEC-BLU,"<p>Our electric blue tiles enliven this eclectic, colorful reimagining of The Mahjong House’s traditional House Collection—a celebration of life’s most beautiful moments, now in vivid technicolor. Adorned with our signature enchanting peacocks, vibrant butterflies, and colorful florals in fun, dazzling colors, The House Collection: Brights transports your game to a joyful garden of candy-colored delights. Pair your Electric Blue House Tiles with any of our Brights Collection mats, designed to mix-and-match brilliantly with all tiles in the collection.</p>
<p>Material: Acrylic</p>
<p>Dimensions: Each tile is 1"" x 1 & 7/16"" x 7/16""</p>
<p>Weight: Approx. 5 lbs total</p>
<p>INCLUDED: 1 set of 160 mahjong tiles (36 dots, 36 bams, 36 craks, 8 flowers, 16 winds, 4 white dragons/soaps, 4 green dragons, 4 red dragons, 10 jokers, 6 blanks) 1 tile guide 1 player’s guide to mahjong</p>"
TMH-TILE-BRIGHTS-LILAC,"<p>Our lilac tiles bring a touch of pastel to an otherwise eclectic, electric reimagining of The Mahjong House’s traditional House Collection—a celebration of life’s most beautiful moments, now in vivid technicolor. Adorned with our signature enchanting peacocks, vibrant butterflies, and colorful florals in fun, dazzling colors, The House Collection: Brights transports your game to a joyful garden of candy-colored delights. Pair your Lilac House Tiles with any of our Brights Collection mats, designed to mix-and-match brilliantly with all tiles in the collection.</p>
<p>Material: Acrylic</p>
<p>Dimensions: Each tile is 1"" x 1 & 7/16"" x 7/16""</p>
<p>Weight: Approx. 5 lbs total</p>
<p>INCLUDED: 1 set of 160 mahjong tiles (36 dots, 36 bams, 36 craks, 8 flowers, 16 winds, 4 white dragons/soaps, 4 green dragons, 4 red dragons, 10 jokers, 6 blanks) 1 tile guide 1 player’s guide to mahjong</p>"
TMH-TILE-BRIGHTS-PLUM,"<p>Our plum tiles bring a depth and elegance to this eclectic, electric reimagining of The Mahjong House’s traditional House Collection—a celebration of life’s most beautiful moments, now in vivid technicolor. Adorned with our signature enchanting peacocks, vibrant butterflies, and colorful florals in fun, dazzling colors, The House Collection: Brights transports your game to a joyful garden of candy-colored delights. Pair your Plum House Tiles with any of our Brights Collection mats, designed to mix-and-match brilliantly with all tiles in the collection.</p>
<p>Material: Acrylic</p>
<p>Dimensions: Each tile is 1"" x 1 & 7/16"" x 7/16""</p>
<p>Weight: Approx. 5 lbs total</p>
<p>INCLUDED: 1 set of 160 mahjong tiles (36 dots, 36 bams, 36 craks, 8 flowers, 16 winds, 4 white dragons/soaps, 4 green dragons, 4 red dragons, 10 jokers, 6 blanks) 1 tile guide 1 player’s guide to mahjong</p>"
TMH-TILE-CLASSIC-TILES,"<p>Like a crisp martini or a classic pair of diamond studs, our Classic Mahjong Tile Set brings a touch of timeless elegance to your game. Each tile is thoughtfully designed in vibrant shades of blue, green, red, and peach, honoring the rich tradition of Mahjong with a fresh, modern twist. This set celebrates the beauty of the game itself, offering a sophisticated, elevated style that feels right at home on any table. Perfect for those who appreciate classic style with a contemporary flair.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-TILE-GREEN-ISLAND-TILES,"<p>Aruba, Jamaica, oooh I wanna to take you... wherever your little heart desires. Our Island Tile Set, with its 160 exquisitely crafted tiles in stunning ocean hues, will transport you straight to your favorite beach paradise. Perfect for those who long for the sea breeze and sandy shores, this set is a must-have for any beach lover seeking a touch of paradise with every game.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
TMH-TILE-GRN-WHT-HOUSE,"<p>Celebrate life’s most beautiful moments with the <strong>House </strong><b>Tile Set</b>, part of our signature <b>House Collection</b>. This one-of-a-kind set transforms your game night into a work of art, featuring intricately designed tiles adorned with majestic peacocks, vibrant butterflies, and delicate florals. Each tile is a testament to the joy and beauty that inspired our founder, Stacey, and her lifelong passion for play.</p>
<p>Rooted in cherished memories of summers at Agate Lake, family trips to Watercolor on 30A, and laughter-filled nights in Michigan, Minnesota, and beyond, this collection brings Stacey’s favorite things to your table. It’s more than a mahjong set—it’s a tribute to the timeless tradition of gathering with loved ones and creating lasting memories.</p>
<p>Crafted with exquisite detail, every tile and hue reflects the thoughtful design and celebration of life that defines the House Collection. Pretty enough to display and meaningful enough to treasure, this set turns any game into an occasion worth remembering.</p>
<p>Material: Acrylic</p>
<p>Dimensions: Each tile is 1"" x 1 & 7/16"" x 7/16""</p>
<p>Weight: Approx. 5 lbs total</p>
<p>INCLUDED: 1 set of 160 mahjong tiles (36 dots, 36 bams, 36 craks, 8 flowers, 16 winds, 4 white dragons/soaps, 4 green dragons, 4 red dragons, 10 jokers, 6 blanks) 1 tile guide 1 player’s guide to mahjong</p>"
TMH-TILE-HOT-PINK-TEXAS-TILES,"<p>Giddy up, baby! Whether you were born and raised in the Lone Star State or just dream of finding yourself a cowboy (Yellowstone fans, we see you!), our Texas Tile Set lets you unleash your inner Western spirit. This tribute to our home state celebrates its beautiful wildflowers, that favorite pair of cowboy boots, finger-licking bbq and all the charm of Texas. Inspired by wide-open skies and the spirit of this great state, each tile celebrates the uniqueness of Texas.</p>
<p>PLEASE NOTE: The Mahjong House’s Island, Texas, and Classic collection products do not have branded/descriptive packaging; the tile sets each ship in a MAHJONG HOUSE drawstring bag and their mats ship without wrapping or labels.</p>"
