ProductCode,ProductName,Category,PieceType,ColorOption,Description,Dimensions,WeightLbs,WeightSource,MainFeatures,ImageCount,MainImage,SourceUrl
610247,Camila Upholstered Motion Reclining Sofa White,Sofas,Motion Sofa,,"Motion reclining sofa brings plush seating and tailored structure to living rooms, family rooms, and media spaces. Structured backs, padded pillow arms, and channeled seat styling create a composed silhouette that still feels relaxed for everyday lounging. Leatherette upholstery covers foam cushioning over a plywood frame with a metal reclining mechanism, giving the piece smooth manual motion and dependable support. The clean profile suits movie nights, reading, and daily downtime.","85.5""w x 37.25""d x 39""h",192.9,coasterfurniture.com listed,"Manual reclining seats adjust easily for lounging, reading, and movie night comfort | Padded pillow arms add comfort while softening the transitional sofa silhouette | Plywood frame and metal mechanism support dependable everyday reclining use | Structured backs and channeled cushions keep the profile tailored and supportive | White reclining sofa features smooth leatherette upholstery and plush supportive seating | White upholstery keeps the look bright, clean, and easy to style at home",11,610247-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Camila-Reclining-Sofa/610247
503061,Aleisha Fabric Upholstered Sofa Mustard Yellow,Sofas,Sofa,Mustard Yellow,"Sofa with rounded shelter arms and textured fabric upholstery brings sculpted comfort to the living room. Gentle vertical channeling across the inside back and a low contemporary profile keep the silhouette tailored while wide seat cushions encourage relaxed lounging. A wood and plywood frame supports foam and polyester fiber cushioning for balanced comfort, while dark brown legs add lift and contrast to the warm mustard upholstery in modern homes and open living spaces.","90""w x 35""d x 29.5""h",132.88,coasterfurniture.com listed,Mustard yellow fabric sofa features rounded shelter arms and a low contemporary silhouette | Vertical channel back detail adds subtle texture and tailored visual interest | Soft fabric upholstery wraps broad cushions for inviting everyday lounging | Foam and polyester fiber cushioning supports relaxed comfort and daily seating | Dark brown legs provide contrast and lift beneath the sculpted sofa frame | Wood and plywood frame construction reinforces lasting support and durability,13,503061-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Aleisha-Chenille-Upholstered-Sofa/503064
503064,Aleisha Fabric Upholstered Sofa Sand,Sofas,Sofa,,"Sofa with rounded shelter arms and textured fabric upholstery brings sculpted comfort to the living room. Gentle vertical channeling across the inside back and a low contemporary profile keep the silhouette tailored while wide seat cushions encourage relaxed lounging. A wood and plywood frame supports foam and polyester fiber cushioning for balanced comfort, while dark brown legs add lift and contrast to the soft sand upholstery in modern homes and open living spaces.","90""w x 35""d x 29.5""h",132.88,coasterfurniture.com listed,Sand fabric sofa features rounded shelter arms and a low contemporary silhouette | Vertical channel back detail adds subtle texture and tailored visual interest | Soft fabric upholstery wraps broad cushions for inviting everyday lounging | Foam and polyester fiber cushioning supports relaxed comfort and daily seating | Dark brown legs provide contrast and lift beneath the sculpted sofa frame | Wood and plywood frame construction reinforces lasting support and durability,13,503064-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Aleisha-Chenille-Upholstered-Sofa/503064
603371,Hamilton Chenille Manual Reclining Sofa Sand,Sofas,Motion Sofa,Sand,"Generously padded arms and segmented back cushions give this manual reclining sofa an inviting, lounge-ready presence for family rooms and media spaces. Chenille upholstery wraps the cushioned seating in soft texture, while the broad profile feels substantial without losing its casual ease. Manual reclining footrests extend for a laid-back position, making the sofa a comfortable anchor for everyday relaxation.","71.25""w x 38.75""d x 39.25""h",156.52,coasterfurniture.com listed,Foam cushioning and metal reclining hardware support daily living room use | Generously padded arms give the sofa a plush and relaxed side silhouette | Manual reclining footrests extend for laid-back seating without power controls | Manual reclining sofa brings padded comfort to family rooms and media spaces | Sand chenille upholstery adds soft texture across the sofa’s cushioned frame | Segmented back cushions create a supportive profile for everyday lounging,12,603371-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Hagen-Power-Reclining-Sectional-Sofa/603371
603374,Hamilton Chenille Manual Reclining Sofa Charcoal Grey,Sofas,Motion Sofa,Charcoal Grey,"Generously padded arms and segmented back cushions give this manual reclining sofa an inviting, lounge-ready presence for family rooms and media spaces. Chenille upholstery wraps the cushioned seating in soft texture, while the broad profile feels substantial without losing its casual ease. Manual reclining footrests extend for a laid-back position, making the sofa a comfortable anchor for everyday relaxation.","71.25""w x 38.75""d x 39.25""h",156.52,coasterfurniture.com listed,Charcoal grey chenille adds soft texture across the sofa’s cushioned frame | Foam cushioning and metal reclining hardware support daily living room use | Generously padded arms give the sofa a plush and relaxed side silhouette | Manual reclining footrests extend for laid-back seating without power controls | Manual reclining sofa brings padded comfort to family rooms and media spaces | Segmented back cushions create a supportive profile for everyday lounging,12,603374-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Hagen-Power-Reclining-Sectional-Sofa/603371
503721,Whitney Contemporary Channel Tufted Woven Fabric Upholstered Sofa,Sofas,Sofa,,"Channel tufted Woven Fabric sofa brings sculpted curves and ribbed comfort to any room. A plywood and wood frame supports foam cushioning with polyester fiber fill, wrapped in 100% polyester Woven Fabric. Rounded arms and a low profile keep the silhouette clean, while loose back pillows add relaxed support. Vertical channeling across the seat and back creates dimensional style. Use this couch to anchor a living room and invite everyday lounging.","88.5""w x 37""d x 29""h",134.2,coasterfurniture.com listed,"Pebble Woven Fabric sofa features channel tufting, rounded arms, and dark brown legs below | Deep vertical channels add ribbed texture for a sculptural, modern look throughout | Plush foam cushioning with polyester fiber fill supports relaxed everyday lounging | Sturdy plywood and wood frame keeps support stable under the soft curved profile | Low silhouette pairs easily with contemporary decor and keeps sightlines open | Loose back pillows add flexible comfort for reading, streaming, and conversation",11,503721-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Whitney-Boucle-Upholstered-Sofa/503721
506591,Arabella Upholstered Padded Arm Sofa Grey,Sofas,Sofa,,"Add modern sophistication and everyday comfort to your living space with this sleek sofa. Upholstered in smooth grey leatherette with subtle stitched details, it brings an updated touch of style to any room. Plush padded seating and pillow-top arms provide exceptional comfort and support, while a sturdy wooden frame ensures durability. Perfectly sized for small or large spaces alike, this sofa blends practicality with a contemporary look, making it a versatile choice for your home.","76.5""w x 35""d x 37.5""h",104.71,coasterfurniture.com listed,"Sofa upholstered in smooth grey leatherette with stitched accents for a sleek modern look | Plush padded seating and wide pillow-top arms deliver long-lasting comfort and relaxation | High pillow back provides additional support, creating a cozy spot for lounging and reading | Dark brown block-style legs lend a grounded finish and add a modern touch to the overall design | Durable wooden frame construction ensures reliable stability and everyday lasting performance | Versatile size makes this sofa an ideal fit for both compact apartments and spacious living rooms",7,506591-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Arabella-Sofa/506591
506864,Sophia Upholstered Channel Tufted Sofa Grey,Sofas,Sofa,Grey,"Bring mid-century sophistication to your living space with this sculptural sofa, elegantly upholstered in smooth grey velvet. Its iconic kidney-shaped silhouette adds fluid movement, while vertical channel tufting along the interior back enhances depth and texture. The fully encased wooden frame provides lasting support, and tapered stainless steel legs in a gold finish offer a touch of glam. Perfect for modern and transitional interiors, this sofa blends timeless style with luxurious comfort.","84""w x 35.5""d x 33""h",84,coasterfurniture.com listed,Mid-century modern sofa in a sculptural kidney-shaped silhouette | Upholstered in soft grey velvet for a smooth and luxurious texture | Vertical channel tufting adds tailored dimension and visual depth | Gold stainless steel tapered legs lend a glamorous modern touch | Built with a fully encased solid wood frame for lasting durability | Perfect centerpiece for contemporary and transitional living rooms,10,506864-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Sophia-Sofa/506864
509171,Rainn Boucle Upholstered Sloped Arm Sofa Latte,Sofas,Sofa,,"Bring inviting sophistication to your space with this contemporary curved sofa, featuring a soft latte boucle fabric that highlights its smooth contours. The sloped armrests and tight back lend an elegant silhouette, while plush seat cushions ensure lasting comfort. Coordinating accent pillows filled with premium faux down add an extra touch of luxury. With its clean lines and textural appeal, this sofa becomes a refined centerpiece that blends warmth, modern style, and timeless comfort.","88.5""w x 40""d x 33""h",116.82,coasterfurniture.com listed,"Curved sofa wrapped in soft latte boucle upholstery for modern texture | Sloped armrests and rounded edges create a smooth sculptural profile | Three plush seat cushions offer supportive and lasting comfort | Tight back design maintains a tailored and refined appearance | Accent pillows with faux down fill complete its cozy, upscale look | Perfect for living rooms seeking contemporary elegance and warmth",13,509171-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Rainn-Sofa/509171
602551,Gilson Chenille Upholstered Reclining Sofa Grey,Sofas,Motion Sofa,,"Relax in total comfort with this manual reclining sofa designed for ultimate ease and support. Wrapped in soft grey chenille upholstery, it offers a plush and inviting touch that enhances any living room. The dual recliners allow you to lean back effortlessly, while generously padded backrests and pillow top arms provide soothing comfort. With smooth manual controls and durable construction, this reclining sofa is a cozy blend of relaxation and everyday functionality.","89.75""w x 40.5""d x 41.75""h",191.8,coasterfurniture.com listed,"Manual reclining sofa with dual reclining seats for total relaxation | Soft grey chenille upholstery offers a plush, inviting texture | Pillow top arms deliver enhanced comfort and casual support | Generously padded backrests provide full-body relaxation | Durable frame crafted from metal, plywood, and resilient foam | Smooth manual recline mechanism ensures effortless operation",12,602551-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Gilson-Reclining-Sofa/602551
360050,Simpson Upholstered Sofa Sleeper with Queen Mattress Grey,Sofas,Sofa,,"Center your living space on a sleeper sofa that brings together style, comfort, and welcome flexibility. Upholstered in light grey fabric with a soft, inviting hand, it offers plush seating with pocket coil support and foam cushions for everyday lounging. Track arms and black block feet create a clean, structured silhouette that works beautifully in a den or living room. When guests stay over, it easily shifts from stylish seating to overnight comfort.","82.25""w x 35.25""d x 34.5""h",163.34,coasterfurniture.com listed,Sleeper sofa in grey features a clean-lined silhouette with track arms | Light grey upholstery creates a soft inviting look in any living space | Black block feet add contrast and grounded modern definition | Pocket coil support and foam cushions offer lasting everyday comfort | Queen sleeper function provides convenient overnight accommodation | Versatile design suits dens living rooms and multifunctional spaces,12,360050-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Simpson-Sleeper-Sofa/360050
610281,Brentwood Upholstered Motion Reclining Sofa Taupe,Sofas,Motion Sofa,Taupe,"Spend the day looking forward to kicking back and relaxing on a modern reclining sofa. It boasts a pair of manual recliners, ideal for everything from movie marathons to enjoying game day with friends. Upholstery is suede-like with a matte look and feel, creating a soft taupe effect for your living room or den. The reclining sofa offers a modern look with smooth cushions and track arms, updating a classic recliner profile. Tufted accents and supportive foam cushioning complete a piece made for everyday comfort.","80.25""w x 36.5""d x 39.25""h",178.57,coasterfurniture.com listed,Taupe reclining sofa features a clean modern profile with track arms | Tufted accents add tailored detail and supportive comfort to the cushions | Sinuous spring seating and webbed backs support lasting everyday comfort | Pair of manual recliners support movie nights and everyday relaxation | Attached cushions and covered leg rests create a cozy inviting seat | Suede-like upholstery offers a soft matte texture in a versatile taupe tone,12,610281-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Brentwood-Reclining-Sofa/610284
610284,Brentwood Upholstered Motion Reclining Sofa Dark Charcoal,Sofas,Motion Sofa,Dark Charcoal,"Spend the day looking forward to kicking back and relaxing on a modern reclining sofa. It boasts a pair of manual recliners, ideal for everything from movie marathons to enjoying game day with friends. Upholstery is suede-like with a matte look and feel, creating a soft dark charcoal effect for your living room or den. The reclining sofa offers a modern look with smooth cushions and track arms, updating a classic recliner profile. Tufted accents and supportive foam cushioning complete a piece made for everyday comfort.","80.25""w x 36.5""d x 39.25""h",178.57,coasterfurniture.com listed,Dark charcoal reclining sofa features a clean modern profile with track arms | Tufted accents add tailored detail and supportive comfort to the cushions | Sinuous spring seating and webbed backs support lasting everyday comfort | Pair of manual recliners support movie nights and everyday relaxation | Attached cushions and covered leg rests create a cozy inviting seat | Suede-like upholstery offers a soft matte texture in a rich charcoal tone,13,610284-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Brentwood-Reclining-Sofa/610284
609541,Bahrain Upholstered Motion Sofa Charcoal,Sofas,Motion Sofa,,"Kick back and relax with the dual recliners featured in this transitional reclining sofa. Built for indulgent comfort, it offers plush and supportive seating with tufting that adds dimension and structure. Extra-thick pillowtop arms are ideal for lounging or even a quick afternoon nap, while charcoal upholstery delivers a smooth, soft look and feel that complements a variety of color palettes and surrounding decor. Complete with easy manual recline for smooth performance you can count on, this sofa is made for comfort, relaxation, and everyday unwinding.","99.25""w x 38.25""d x 39.75""h",184.8,coasterfurniture.com listed,Reclining sofa in charcoal fabric creates a soft inviting place to relax | Pillowtop arms enhance comfort for curling up or stretching out with ease | Neutral charcoal upholstery complements a wide range of surrounding decor | Dual recliners encourage rest and easy lounging in family living spaces | Pocket coil seating and cool gel memory foam support lasting comfort | Plush cushions with tufted detailing add support structure and dimension,17,609541-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Bahrain-Reclining-Sofa/609541
610261P,Greenfield Upholstered Power Reclining Sofa Dove Grey,Sofas,Power Reclining Sofa,Dove Grey,"Contemporary elegance plays out in a clean, modern design as the power sofa delivers beauty and comfort to a space reserved for easy entertaining and relaxing. Leatherette upholstery covers a wood and plywood frame to provide a sturdy build, embellished with plump foam filled in tall, attached back cushions and supportive seat cushions. Subtle tufting cradles body positioning, aided in luxurious comfort by power reclining at the touch of a button on a switch panel with a convenient USB port. The versatility of a clean neutral finish joins a delightfully simple yet elegant style motif to make this power reclining sofa a hit in any modern space.","82.75""w x 37""d x 39.75""h",199.55,coasterfurniture.com listed,Power reclining sofa features smooth leatherette upholstery in a soft neutral tone | Power reclining function offers customized comfort at the touch of a button | Wood and plywood frame with metal mechanism ensures lasting durability | Plump foam cushions with subtle tufting support comfortable body positioning | Built-in switch panel includes a convenient USB port for device charging | Attached seat and back cushions create a tailored clean modern silhouette,12,610261P-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Greenfield-Power-Reclining-Sofa/610261P
610264P,Greenfield Upholstered Power Reclining Sofa Saddle Brown,Sofas,Power Reclining Sofa,Saddle Brown,"Contemporary elegance plays out in a clean, modern design as the power sofa delivers beauty and comfort to a space reserved for easy entertaining and relaxing. Leatherette upholstery covers a wood and plywood frame to provide a sturdy build, embellished with plump foam filled in tall, attached back cushions and supportive seat cushions. Subtle tufting cradles body positioning, aided in luxurious comfort by power reclining at the touch of a button on a switch panel with a convenient USB port. The versatility of a clean neutral finish joins a delightfully simple yet elegant style motif to make this power reclining sofa a hit in any modern space.","82.75""w x 37""d x 39.75""h",199.55,coasterfurniture.com listed,Power reclining sofa features smooth leatherette upholstery in a rich neutral tone | Power reclining function offers customized comfort at the touch of a button | Wood and plywood frame with metal mechanism ensures lasting durability | Plump foam cushions with subtle tufting support comfortable body positioning | Built-in switch panel includes a convenient USB port for device charging | Attached seat and back cushions create a tailored clean modern silhouette,12,610264P-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Greenfield-Power-Reclining-Sofa/610261P
603191,Raelynn Upholstered Track Arm Motion Sofa Grey,Sofas,Motion Sofa,,"Relax in style with this transitional motion sofa that blends modern design and everyday comfort. Upholstered in smooth grey leatherette, it features decorative vertical topstitching for added dimension and appeal. Plush foam padding and pocket coil spring cushions provide long-lasting support, while ultra-padded headrests enhance relaxation. A wall-hugger reclining mechanism saves space, making this sofa a smart fit for any living area. Manual reclining allows customized comfort with ease.","80.75""w x 40.5""d x 41.25""h",179.85,coasterfurniture.com listed,Motion sofa upholstered in smooth grey leatherette with decorative topstitching | Manual reclining seats offer customizable comfort for everyday relaxation | Wall-hugger mechanism saves valuable floor space in compact living rooms | Plush foam cushioning and pocket coil springs provide lasting supportive seating | Attached back cushions with ultra-plush headrests enhance lounging comfort | Sturdy frame built with metal and plywood ensures durability and stability,12,603191-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Raelynn-Reclining-Sofa/603191
506551,Finley Upholstered Padded Arm Tufted Sofa Black,Sofas,Sofa,,"Sofa delivers plush contemporary comfort with smooth leatherette upholstery, tufted back cushions, and generously padded headrests and arms. Its broad silhouette creates a substantial seating presence while attached cushions help maintain a neat tailored look in active living spaces. Pocket coil seating and supportive foam cushioning contribute to resilient everyday comfort, and the reinforced frame beneath supports long-term use. Choose this sofa for living rooms that need comfortable lounging, clean styling, and an easy-to-coordinate black finish.","77.25""w x 35""d x 40.25""h",112.43,coasterfurniture.com listed,Attached cushions keep the profile neat and easy to maintain over time | Pocket coil seating helps deliver supportive comfort for daily lounging | Tufted back cushions add subtle detail to the broad supportive silhouette | Strong frame construction supports dependable use in busy living spaces | Sofa in black leatherette brings plush comfort to contemporary living rooms | Padded headrests and arms create a soft inviting place to unwind,10,506551-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Finley-Sofa/506551
610271,Sloane Upholstered Padded Arm Reclining Sofa Blue,Sofas,Motion Sofa,,"Whisk away to a world of comfort with this reclining sofa, where plush seating and thoughtful conveniences turn movie night into a favorite ritual. Blue leatherette upholstery gives the silhouette a rich, polished look, while padded arms and attached cushions keep the profile relaxed and inviting. A drop-down center console reveals stainless steel cup holders and pop-up power access, adding modern function to its easygoing style.","87.5""w x 39.25""d x 40.25""h",202.83,coasterfurniture.com listed,Reclining sofa in blue features padded arms and a tailored profile | Pop-up power access adds convenient charging during everyday lounging | Blue leatherette upholstery adds a rich and polished modern look | Drop-down center console includes stainless steel cup holders | Attached cushions with pocket coil seating support lasting comfort | Easy reclining motion creates a relaxed setting for movies and downtime,12,610271-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Sloane-Reclining-Sofa/610271
552061,Christine Upholstered Sloped Arm Sofa Beige,Sofas,Sofa,,"Brighten your living space with this upholstered sofa wrapped in soft beige chenille. Designed for comfort and elegance, it features gently sloped track arms and tall tapered wooden legs that create a refined transitional silhouette. The boxed seat and back cushions include classic welt trim for tailored appeal, while coordinating accent pillows in copper and coral tones bring subtle contrast. Built with a durable wooden frame and foam cushioning, this sofa blends timeless design with everyday comfort.","79.75""w x 36.25""d x 36.25""h",123.2,coasterfurniture.com listed,"Upholstered sofa with refined transitional design and clean lines | Soft beige chenille upholstery adds light, inviting texture | Sloped track arms offer comfort with graceful modern shape | Boxed seat and back cushions feature classic welt detailing | Copper and coral accent pillows provide subtle contrast tones | Solid wood tapered legs ensure stability and timeless appeal",13,552061-1.jpg,https://www.coasterfurniture.com/furniture/category/Sofas/Christine-Sofa/552061
