productcode,productname,productdescription,productweight,photourl,hideproduct
610247,Camila Upholstered Motion Reclining Sofa White,"<p>Motion reclining sofa brings plush seating and tailored structure to living rooms, family rooms, and media spaces. Structured backs, padded pillow arms, and channeled seat styling create a composed silhouette that still feels relaxed for everyday lounging. Leatherette upholstery covers foam cushioning over a plywood frame with a metal reclining mechanism, giving the piece smooth manual motion and dependable support. The clean profile suits movie nights, reading, and daily downtime.</p><p><b>Dimensions:</b> 85.5""w x 37.25""d x 39""h</p><ul><li>Manual reclining seats adjust easily for lounging, reading, and movie night comfort</li><li>Padded pillow arms add comfort while softening the transitional sofa silhouette</li><li>Plywood frame and metal mechanism support dependable everyday reclining use</li><li>Structured backs and channeled cushions keep the profile tailored and supportive</li><li>White reclining sofa features smooth leatherette upholstery and plush supportive seating</li><li>White upholstery keeps the look bright, clean, and easy to style at home</li></ul>",192.9,/v/vspfiles/photos/coaster living room/610247-1.jpg,N
503061,Aleisha Fabric Upholstered Sofa Mustard Yellow,"<p>Sofa with rounded shelter arms and textured fabric upholstery brings sculpted comfort to the living room. Gentle vertical channeling across the inside back and a low contemporary profile keep the silhouette tailored while wide seat cushions encourage relaxed lounging. A wood and plywood frame supports foam and polyester fiber cushioning for balanced comfort, while dark brown legs add lift and contrast to the warm mustard upholstery in modern homes and open living spaces.</p><p><b>Dimensions:</b> 90""w x 35""d x 29.5""h</p><ul><li>Mustard yellow fabric sofa features rounded shelter arms and a low contemporary silhouette</li><li>Vertical channel back detail adds subtle texture and tailored visual interest</li><li>Soft fabric upholstery wraps broad cushions for inviting everyday lounging</li><li>Foam and polyester fiber cushioning supports relaxed comfort and daily seating</li><li>Dark brown legs provide contrast and lift beneath the sculpted sofa frame</li><li>Wood and plywood frame construction reinforces lasting support and durability</li></ul>",132.88,/v/vspfiles/photos/coaster living room/503061-1.jpg,N
503064,Aleisha Fabric Upholstered Sofa Sand,"<p>Sofa with rounded shelter arms and textured fabric upholstery brings sculpted comfort to the living room. Gentle vertical channeling across the inside back and a low contemporary profile keep the silhouette tailored while wide seat cushions encourage relaxed lounging. A wood and plywood frame supports foam and polyester fiber cushioning for balanced comfort, while dark brown legs add lift and contrast to the soft sand upholstery in modern homes and open living spaces.</p><p><b>Dimensions:</b> 90""w x 35""d x 29.5""h</p><ul><li>Sand fabric sofa features rounded shelter arms and a low contemporary silhouette</li><li>Vertical channel back detail adds subtle texture and tailored visual interest</li><li>Soft fabric upholstery wraps broad cushions for inviting everyday lounging</li><li>Foam and polyester fiber cushioning supports relaxed comfort and daily seating</li><li>Dark brown legs provide contrast and lift beneath the sculpted sofa frame</li><li>Wood and plywood frame construction reinforces lasting support and durability</li></ul>",132.88,/v/vspfiles/photos/coaster living room/503064-1.jpg,N
603371,Hamilton Chenille Manual Reclining Sofa Sand,"<p>Generously padded arms and segmented back cushions give this manual reclining sofa an inviting, lounge-ready presence for family rooms and media spaces. Chenille upholstery wraps the cushioned seating in soft texture, while the broad profile feels substantial without losing its casual ease. Manual reclining footrests extend for a laid-back position, making the sofa a comfortable anchor for everyday relaxation.</p><p><b>Dimensions:</b> 71.25""w x 38.75""d x 39.25""h</p><ul><li>Foam cushioning and metal reclining hardware support daily living room use</li><li>Generously padded arms give the sofa a plush and relaxed side silhouette</li><li>Manual reclining footrests extend for laid-back seating without power controls</li><li>Manual reclining sofa brings padded comfort to family rooms and media spaces</li><li>Sand chenille upholstery adds soft texture across the sofa’s cushioned frame</li><li>Segmented back cushions create a supportive profile for everyday lounging</li></ul>",156.52,/v/vspfiles/photos/coaster living room/603371-1.jpg,N
603374,Hamilton Chenille Manual Reclining Sofa Charcoal Grey,"<p>Generously padded arms and segmented back cushions give this manual reclining sofa an inviting, lounge-ready presence for family rooms and media spaces. Chenille upholstery wraps the cushioned seating in soft texture, while the broad profile feels substantial without losing its casual ease. Manual reclining footrests extend for a laid-back position, making the sofa a comfortable anchor for everyday relaxation.</p><p><b>Dimensions:</b> 71.25""w x 38.75""d x 39.25""h</p><ul><li>Charcoal grey chenille adds soft texture across the sofa’s cushioned frame</li><li>Foam cushioning and metal reclining hardware support daily living room use</li><li>Generously padded arms give the sofa a plush and relaxed side silhouette</li><li>Manual reclining footrests extend for laid-back seating without power controls</li><li>Manual reclining sofa brings padded comfort to family rooms and media spaces</li><li>Segmented back cushions create a supportive profile for everyday lounging</li></ul>",156.52,/v/vspfiles/photos/coaster living room/603374-1.jpg,N
503721,Whitney Contemporary Channel Tufted Woven Fabric Upholstered Sofa,"<p>Channel tufted Woven Fabric sofa brings sculpted curves and ribbed comfort to any room. A plywood and wood frame supports foam cushioning with polyester fiber fill, wrapped in 100% polyester Woven Fabric. Rounded arms and a low profile keep the silhouette clean, while loose back pillows add relaxed support. Vertical channeling across the seat and back creates dimensional style. Use this couch to anchor a living room and invite everyday lounging.</p><p><b>Dimensions:</b> 88.5""w x 37""d x 29""h</p><ul><li>Pebble Woven Fabric sofa features channel tufting, rounded arms, and dark brown legs below</li><li>Deep vertical channels add ribbed texture for a sculptural, modern look throughout</li><li>Plush foam cushioning with polyester fiber fill supports relaxed everyday lounging</li><li>Sturdy plywood and wood frame keeps support stable under the soft curved profile</li><li>Low silhouette pairs easily with contemporary decor and keeps sightlines open</li><li>Loose back pillows add flexible comfort for reading, streaming, and conversation</li></ul>",134.2,/v/vspfiles/photos/coaster living room/503721-1.jpg,N
506591,Arabella Upholstered Padded Arm Sofa Grey,"<p>Add modern sophistication and everyday comfort to your living space with this sleek sofa. Upholstered in smooth grey leatherette with subtle stitched details, it brings an updated touch of style to any room. Plush padded seating and pillow-top arms provide exceptional comfort and support, while a sturdy wooden frame ensures durability. Perfectly sized for small or large spaces alike, this sofa blends practicality with a contemporary look, making it a versatile choice for your home.</p><p><b>Dimensions:</b> 76.5""w x 35""d x 37.5""h</p><ul><li>Sofa upholstered in smooth grey leatherette with stitched accents for a sleek modern look</li><li>Plush padded seating and wide pillow-top arms deliver long-lasting comfort and relaxation</li><li>High pillow back provides additional support, creating a cozy spot for lounging and reading</li><li>Dark brown block-style legs lend a grounded finish and add a modern touch to the overall design</li><li>Durable wooden frame construction ensures reliable stability and everyday lasting performance</li><li>Versatile size makes this sofa an ideal fit for both compact apartments and spacious living rooms</li></ul>",104.71,/v/vspfiles/photos/coaster living room/506591-1.jpg,N
506864,Sophia Upholstered Channel Tufted Sofa Grey,"<p>Bring mid-century sophistication to your living space with this sculptural sofa, elegantly upholstered in smooth grey velvet. Its iconic kidney-shaped silhouette adds fluid movement, while vertical channel tufting along the interior back enhances depth and texture. The fully encased wooden frame provides lasting support, and tapered stainless steel legs in a gold finish offer a touch of glam. Perfect for modern and transitional interiors, this sofa blends timeless style with luxurious comfort.</p><p><b>Dimensions:</b> 84""w x 35.5""d x 33""h</p><ul><li>Mid-century modern sofa in a sculptural kidney-shaped silhouette</li><li>Upholstered in soft grey velvet for a smooth and luxurious texture</li><li>Vertical channel tufting adds tailored dimension and visual depth</li><li>Gold stainless steel tapered legs lend a glamorous modern touch</li><li>Built with a fully encased solid wood frame for lasting durability</li><li>Perfect centerpiece for contemporary and transitional living rooms</li></ul>",84,/v/vspfiles/photos/coaster living room/506864-1.jpg,N
509171,Rainn Boucle Upholstered Sloped Arm Sofa Latte,"<p>Bring inviting sophistication to your space with this contemporary curved sofa, featuring a soft latte boucle fabric that highlights its smooth contours. The sloped armrests and tight back lend an elegant silhouette, while plush seat cushions ensure lasting comfort. Coordinating accent pillows filled with premium faux down add an extra touch of luxury. With its clean lines and textural appeal, this sofa becomes a refined centerpiece that blends warmth, modern style, and timeless comfort.</p><p><b>Dimensions:</b> 88.5""w x 40""d x 33""h</p><ul><li>Curved sofa wrapped in soft latte boucle upholstery for modern texture</li><li>Sloped armrests and rounded edges create a smooth sculptural profile</li><li>Three plush seat cushions offer supportive and lasting comfort</li><li>Tight back design maintains a tailored and refined appearance</li><li>Accent pillows with faux down fill complete its cozy, upscale look</li><li>Perfect for living rooms seeking contemporary elegance and warmth</li></ul>",116.82,/v/vspfiles/photos/coaster living room/509171-1.jpg,N
602551,Gilson Chenille Upholstered Reclining Sofa Grey,"<p>Relax in total comfort with this manual reclining sofa designed for ultimate ease and support. Wrapped in soft grey chenille upholstery, it offers a plush and inviting touch that enhances any living room. The dual recliners allow you to lean back effortlessly, while generously padded backrests and pillow top arms provide soothing comfort. With smooth manual controls and durable construction, this reclining sofa is a cozy blend of relaxation and everyday functionality.</p><p><b>Dimensions:</b> 89.75""w x 40.5""d x 41.75""h</p><ul><li>Manual reclining sofa with dual reclining seats for total relaxation</li><li>Soft grey chenille upholstery offers a plush, inviting texture</li><li>Pillow top arms deliver enhanced comfort and casual support</li><li>Generously padded backrests provide full-body relaxation</li><li>Durable frame crafted from metal, plywood, and resilient foam</li><li>Smooth manual recline mechanism ensures effortless operation</li></ul>",191.8,/v/vspfiles/photos/coaster living room/602551-1.jpg,N
360050,Simpson Upholstered Sofa Sleeper with Queen Mattress Grey,"<p>Center your living space on a sleeper sofa that brings together style, comfort, and welcome flexibility. Upholstered in light grey fabric with a soft, inviting hand, it offers plush seating with pocket coil support and foam cushions for everyday lounging. Track arms and black block feet create a clean, structured silhouette that works beautifully in a den or living room. When guests stay over, it easily shifts from stylish seating to overnight comfort.</p><p><b>Dimensions:</b> 82.25""w x 35.25""d x 34.5""h</p><ul><li>Sleeper sofa in grey features a clean-lined silhouette with track arms</li><li>Light grey upholstery creates a soft inviting look in any living space</li><li>Black block feet add contrast and grounded modern definition</li><li>Pocket coil support and foam cushions offer lasting everyday comfort</li><li>Queen sleeper function provides convenient overnight accommodation</li><li>Versatile design suits dens living rooms and multifunctional spaces</li></ul>",163.34,/v/vspfiles/photos/coaster living room/360050-1.jpg,N
610281,Brentwood Upholstered Motion Reclining Sofa Taupe,"<p>Spend the day looking forward to kicking back and relaxing on a modern reclining sofa. It boasts a pair of manual recliners, ideal for everything from movie marathons to enjoying game day with friends. Upholstery is suede-like with a matte look and feel, creating a soft taupe effect for your living room or den. The reclining sofa offers a modern look with smooth cushions and track arms, updating a classic recliner profile. Tufted accents and supportive foam cushioning complete a piece made for everyday comfort.</p><p><b>Dimensions:</b> 80.25""w x 36.5""d x 39.25""h</p><ul><li>Taupe reclining sofa features a clean modern profile with track arms</li><li>Tufted accents add tailored detail and supportive comfort to the cushions</li><li>Sinuous spring seating and webbed backs support lasting everyday comfort</li><li>Pair of manual recliners support movie nights and everyday relaxation</li><li>Attached cushions and covered leg rests create a cozy inviting seat</li><li>Suede-like upholstery offers a soft matte texture in a versatile taupe tone</li></ul>",178.57,/v/vspfiles/photos/coaster living room/610281-1.jpg,N
610284,Brentwood Upholstered Motion Reclining Sofa Dark Charcoal,"<p>Spend the day looking forward to kicking back and relaxing on a modern reclining sofa. It boasts a pair of manual recliners, ideal for everything from movie marathons to enjoying game day with friends. Upholstery is suede-like with a matte look and feel, creating a soft dark charcoal effect for your living room or den. The reclining sofa offers a modern look with smooth cushions and track arms, updating a classic recliner profile. Tufted accents and supportive foam cushioning complete a piece made for everyday comfort.</p><p><b>Dimensions:</b> 80.25""w x 36.5""d x 39.25""h</p><ul><li>Dark charcoal reclining sofa features a clean modern profile with track arms</li><li>Tufted accents add tailored detail and supportive comfort to the cushions</li><li>Sinuous spring seating and webbed backs support lasting everyday comfort</li><li>Pair of manual recliners support movie nights and everyday relaxation</li><li>Attached cushions and covered leg rests create a cozy inviting seat</li><li>Suede-like upholstery offers a soft matte texture in a rich charcoal tone</li></ul>",178.57,/v/vspfiles/photos/coaster living room/610284-1.jpg,N
609541,Bahrain Upholstered Motion Sofa Charcoal,"<p>Kick back and relax with the dual recliners featured in this transitional reclining sofa. Built for indulgent comfort, it offers plush and supportive seating with tufting that adds dimension and structure. Extra-thick pillowtop arms are ideal for lounging or even a quick afternoon nap, while charcoal upholstery delivers a smooth, soft look and feel that complements a variety of color palettes and surrounding decor. Complete with easy manual recline for smooth performance you can count on, this sofa is made for comfort, relaxation, and everyday unwinding.</p><p><b>Dimensions:</b> 99.25""w x 38.25""d x 39.75""h</p><ul><li>Reclining sofa in charcoal fabric creates a soft inviting place to relax</li><li>Pillowtop arms enhance comfort for curling up or stretching out with ease</li><li>Neutral charcoal upholstery complements a wide range of surrounding decor</li><li>Dual recliners encourage rest and easy lounging in family living spaces</li><li>Pocket coil seating and cool gel memory foam support lasting comfort</li><li>Plush cushions with tufted detailing add support structure and dimension</li></ul>",184.8,/v/vspfiles/photos/coaster living room/609541-1.jpg,N
610261P,Greenfield Upholstered Power Reclining Sofa Dove Grey,"<p>Contemporary elegance plays out in a clean, modern design as the power sofa delivers beauty and comfort to a space reserved for easy entertaining and relaxing. Leatherette upholstery covers a wood and plywood frame to provide a sturdy build, embellished with plump foam filled in tall, attached back cushions and supportive seat cushions. Subtle tufting cradles body positioning, aided in luxurious comfort by power reclining at the touch of a button on a switch panel with a convenient USB port. The versatility of a clean neutral finish joins a delightfully simple yet elegant style motif to make this power reclining sofa a hit in any modern space.</p><p><b>Dimensions:</b> 82.75""w x 37""d x 39.75""h</p><ul><li>Power reclining sofa features smooth leatherette upholstery in a soft neutral tone</li><li>Power reclining function offers customized comfort at the touch of a button</li><li>Wood and plywood frame with metal mechanism ensures lasting durability</li><li>Plump foam cushions with subtle tufting support comfortable body positioning</li><li>Built-in switch panel includes a convenient USB port for device charging</li><li>Attached seat and back cushions create a tailored clean modern silhouette</li></ul>",199.55,/v/vspfiles/photos/coaster living room/610261P-1.jpg,N
610264P,Greenfield Upholstered Power Reclining Sofa Saddle Brown,"<p>Contemporary elegance plays out in a clean, modern design as the power sofa delivers beauty and comfort to a space reserved for easy entertaining and relaxing. Leatherette upholstery covers a wood and plywood frame to provide a sturdy build, embellished with plump foam filled in tall, attached back cushions and supportive seat cushions. Subtle tufting cradles body positioning, aided in luxurious comfort by power reclining at the touch of a button on a switch panel with a convenient USB port. The versatility of a clean neutral finish joins a delightfully simple yet elegant style motif to make this power reclining sofa a hit in any modern space.</p><p><b>Dimensions:</b> 82.75""w x 37""d x 39.75""h</p><ul><li>Power reclining sofa features smooth leatherette upholstery in a rich neutral tone</li><li>Power reclining function offers customized comfort at the touch of a button</li><li>Wood and plywood frame with metal mechanism ensures lasting durability</li><li>Plump foam cushions with subtle tufting support comfortable body positioning</li><li>Built-in switch panel includes a convenient USB port for device charging</li><li>Attached seat and back cushions create a tailored clean modern silhouette</li></ul>",199.55,/v/vspfiles/photos/coaster living room/610264P-1.jpg,N
603191,Raelynn Upholstered Track Arm Motion Sofa Grey,"<p>Relax in style with this transitional motion sofa that blends modern design and everyday comfort. Upholstered in smooth grey leatherette, it features decorative vertical topstitching for added dimension and appeal. Plush foam padding and pocket coil spring cushions provide long-lasting support, while ultra-padded headrests enhance relaxation. A wall-hugger reclining mechanism saves space, making this sofa a smart fit for any living area. Manual reclining allows customized comfort with ease.</p><p><b>Dimensions:</b> 80.75""w x 40.5""d x 41.25""h</p><ul><li>Motion sofa upholstered in smooth grey leatherette with decorative topstitching</li><li>Manual reclining seats offer customizable comfort for everyday relaxation</li><li>Wall-hugger mechanism saves valuable floor space in compact living rooms</li><li>Plush foam cushioning and pocket coil springs provide lasting supportive seating</li><li>Attached back cushions with ultra-plush headrests enhance lounging comfort</li><li>Sturdy frame built with metal and plywood ensures durability and stability</li></ul>",179.85,/v/vspfiles/photos/coaster living room/603191-1.jpg,N
506551,Finley Upholstered Padded Arm Tufted Sofa Black,"<p>Sofa delivers plush contemporary comfort with smooth leatherette upholstery, tufted back cushions, and generously padded headrests and arms. Its broad silhouette creates a substantial seating presence while attached cushions help maintain a neat tailored look in active living spaces. Pocket coil seating and supportive foam cushioning contribute to resilient everyday comfort, and the reinforced frame beneath supports long-term use. Choose this sofa for living rooms that need comfortable lounging, clean styling, and an easy-to-coordinate black finish.</p><p><b>Dimensions:</b> 77.25""w x 35""d x 40.25""h</p><ul><li>Attached cushions keep the profile neat and easy to maintain over time</li><li>Pocket coil seating helps deliver supportive comfort for daily lounging</li><li>Tufted back cushions add subtle detail to the broad supportive silhouette</li><li>Strong frame construction supports dependable use in busy living spaces</li><li>Sofa in black leatherette brings plush comfort to contemporary living rooms</li><li>Padded headrests and arms create a soft inviting place to unwind</li></ul>",112.43,/v/vspfiles/photos/coaster living room/506551-1.jpg,N
610271,Sloane Upholstered Padded Arm Reclining Sofa Blue,"<p>Whisk away to a world of comfort with this reclining sofa, where plush seating and thoughtful conveniences turn movie night into a favorite ritual. Blue leatherette upholstery gives the silhouette a rich, polished look, while padded arms and attached cushions keep the profile relaxed and inviting. A drop-down center console reveals stainless steel cup holders and pop-up power access, adding modern function to its easygoing style.</p><p><b>Dimensions:</b> 87.5""w x 39.25""d x 40.25""h</p><ul><li>Reclining sofa in blue features padded arms and a tailored profile</li><li>Pop-up power access adds convenient charging during everyday lounging</li><li>Blue leatherette upholstery adds a rich and polished modern look</li><li>Drop-down center console includes stainless steel cup holders</li><li>Attached cushions with pocket coil seating support lasting comfort</li><li>Easy reclining motion creates a relaxed setting for movies and downtime</li></ul>",202.83,/v/vspfiles/photos/coaster living room/610271-1.jpg,N
552061,Christine Upholstered Sloped Arm Sofa Beige,"<p>Brighten your living space with this upholstered sofa wrapped in soft beige chenille. Designed for comfort and elegance, it features gently sloped track arms and tall tapered wooden legs that create a refined transitional silhouette. The boxed seat and back cushions include classic welt trim for tailored appeal, while coordinating accent pillows in copper and coral tones bring subtle contrast. Built with a durable wooden frame and foam cushioning, this sofa blends timeless design with everyday comfort.</p><p><b>Dimensions:</b> 79.75""w x 36.25""d x 36.25""h</p><ul><li>Upholstered sofa with refined transitional design and clean lines</li><li>Soft beige chenille upholstery adds light, inviting texture</li><li>Sloped track arms offer comfort with graceful modern shape</li><li>Boxed seat and back cushions feature classic welt detailing</li><li>Copper and coral accent pillows provide subtle contrast tones</li><li>Solid wood tapered legs ensure stability and timeless appeal</li></ul>",123.2,/v/vspfiles/photos/coaster living room/552061-1.jpg,N
508281,Ellington Upholstered Padded Arm Sofa Dark Brown,"<p>A chic mottled effect brings authenticity to the lush faux leather upholstery of a transitional sofa. Seating three, it features a dark brown color that's deep and rich, a perfect complement in a stylish but relaxed living room. The sofa boasts exceptional comfort and support, complete with pocket coil seating and full foam cushions. Pillowtop arms complement plush cushions, creating the perfect spot for lounging. Its relaxed stance makes this sofa the perfect choice for a family room or den, creating a welcoming aura that brims with comfort.</p><p><b>Dimensions:</b> 86.25""w x 39""d x 40.5""h</p><ul><li>Plush foam cushions and pocket coil seating provide superior comfort</li><li>Dark brown coated microfiber with a chic mottled faux leather effect</li><li>Transitional three-seater sofa with a relaxed and inviting design</li><li>Pillowtop arms offer enhanced softness and full lounge-worthy support</li><li>Sinuous spring seat decking ensures long-term durability and resilience</li><li>Sturdy frame construction guarantees everyday reliability and stability</li></ul>",143.3,/v/vspfiles/photos/coaster living room/508281-1.jpg,N
