productcode,productname,productdescription,productweight,photourl,hideproduct
182071,Joe 5-shelf Composite Wood Home Bar Wine Cabinet Aged Oak,"<p>Serve guests in style with this handsome home bar, designed with a bold rustic profile and generous storage. An aged oak finish brings warmth to the case, while dark gunmetal accents and a front footrest add tailored contrast and everyday comfort. Multiple shelves, stemware storage, and bottle storage help organize entertaining essentials in one compact bar unit.</p><p><b>Dimensions:</b> 51""w x 23.5""d x 41""h</p><ul><li>Aged oak finish adds warmth and rustic character to the bold profile</li><li>Stemware racks keep glasses organized and ready for serving use</li><li>Rustic styling suits farmhouse and casual entertaining spaces alike</li><li>Compact bar unit provides practical storage for bottles tools and decor</li><li>Home bar features open shelving and bottle storage for entertaining essentials</li><li>Dark gunmetal footrest creates contrast and added comfort for guests</li></ul>",124.3,/v/vspfiles/photos/coaster bars/182071-1.jpg,N
182757,Gallimore 2-door Bar Cabinet Wine Storage White High Gloss,"<p>Cool and contemporary, this bar cabinet brings modern elegance to entertaining with a high gloss white finish and gleaming chrome framework. Clear tempered glass shelves keep barware on display, while a stemware rack and 12-bottle wine storage build in the essentials for a complete home bar setup. Behind the two-door cabinet, even more storage keeps the arrangement practical and tidy. Power access at the side adds one more smart convenience to the design.</p><p><b>Dimensions:</b> 47.25""w x 16""d x 43""h</p><ul><li>Chrome frame and clear glass shelves create bright modern contrast</li><li>Stemware rack and 12-bottle wine storage support entertaining needs</li><li>High gloss finish adds crisp polish to dining and bar spaces</li><li>Built-in power outlet includes 2 AC and 2 USB-A connections</li><li>Bar cabinet in white high gloss features a sleek contemporary profile</li><li>Two-door cabinet provides concealed storage for barware and supplies</li></ul>",88.9,/v/vspfiles/photos/coaster bars/182757-1.jpg,N
130071,Renaldi 3-shelf Home Bar Wine Cabinet Rustic Nutmeg,"<p>This home bar offers a stylish and functional centerpiece for entertaining guests. Designed with a rustic nutmeg wood-look laminate, it brings a warm, inviting feel to any space. A sturdy dark bronze powder-coated metal frame enhances durability while adding an industrial touch. Three tiers of shelving provide ample storage for bottles and accessories, while four rows of stemware racks keep glassware conveniently within reach. The built-in footrest ensures comfort for guests seated at the bar.</p><p><b>Dimensions:</b> 51.25""w x 20.5""d x 41""h</p><ul><li>Four rows of stemware racks offer easy access and secure organization for wine glasses</li><li>Home bar featuring a rustic nutmeg wood-look laminate veneer construction for charm</li><li>Built-in footrest ensures added comfort for guests while seated at the bar area</li><li>Dark bronze powder-coated metal frame enhances durability with an industrial touch</li><li>Three-tier shelving provides ample storage space for bottles, glassware, and bar tools</li><li>A stylish and functional centerpiece, perfect for home entertaining and gatherings</li></ul>",129.43,/v/vspfiles/photos/coaster bars/130071-1.jpg,N
182135-S3,Dallas 3-piece Curved Freestanding Home Bar Cabinet Black,"<p>Presenting plenty of contemporary vibes, this home bar is sleek in every aspect. The black finish and acrylic construction give this piece an upscale look and feel. A rounded design offers storage space on multiple shelving units. Also included on this contemporary bar table are stemware racks to hold plenty of wine glasses. Whether you are entertaining a party of two or many, this contemporary bar table is the right choice for a stylish home.</p><p><b>Dimensions:</b> 63""w x 34.75""d x 41.5""h</p><ul><li>Features stemware rack and three (3) bottle wine rack</li><li>Contemporary bar unit showcases a curved chic design with metal frame in a silver finish</li><li>Smoked acrylic panels provide a high-end feel</li><li>Two-tier frosted tempered glass tops with two (2) frosted tempered glass shelves</li><li>Features 3 units, creating the ultimate bar setup</li></ul>",132,/v/vspfiles/photos/coaster bars/182135-S3-1.jpg,N
100135-S3,Dallas 3-piece Curved Freestanding Home Bar Cabinet Silver,"<p>Perfect for the modern entertainer, this three-piece bar set adds visual intrigue and function. Constructed of metal, this bar unit set features a stunning champagne finish and smoked acrylic panels. Connect the three units together for a multi-dimensional bar experience. Display your favorite libations and stow away glassware for easy reach. The frosted tempered glass top and built-in foot rail are perfect for guests, paired with bar stools or on its own.</p><p><b>Dimensions:</b> 63""w x 34.75""d x 41.5""h</p><ul><li>Features 3 units, creating the ultimate bar setup</li><li>Features stemware rack and three (3) bottle wine rack</li><li>Contemporary bar unit showcases a curved chic design with metal frame in a silver finish</li><li>Smoked acrylic panels provides a high-end feel</li><li>Two-tier frosted tempered glass tops with two (2) frosted tempered glass shelves</li></ul>",132,/v/vspfiles/photos/coaster bars/100135-S3-1.jpg,N
101065,Amarillo Freestanding Glass Top Home Bar Wine Cabinet Black,"<p>Beautifully crafted with high-quality acrylic panels and a clear glass top, this contemporary bar unit lets you entertain in style. Its smooth, curved silhouette gives it an elegant appearance. With a spacious storage area, it leaves plenty of room for all of your bartending needs. A convenient stemware rack completes its convenient appeal. Whether you're hosting a swanky soiree or a casual cocktail hour, this bar unit is ideal for any occasion.</p><p><b>Dimensions:</b> 50.75""w x 20""d x 41""h</p><ul><li>Black tempered glass top and shelf deliver modern contrast and durability</li><li>Fixed chrome stemware rack holds glassware within easy reach</li><li>Smoked acrylic panels offer a moody, upscale look while enclosing contents</li><li>Freestanding home bar with sleek black finish and curved frame silhouette</li><li>Integrated shelving provides ample storage for bottles and bar essentials</li><li>Crafted from smoked acrylic, tempered glass, engineered wood, and steel</li></ul>",67.32,/v/vspfiles/photos/coaster bars/101065-1.jpg,N
101066,Amarillo Freestanding Glass Top Home Bar Wine Cabinet White,"<p>Upgrade your home entertainment options with this gorgeous, contemporary bar unit. With a convenient wine glass rack and ample storage space, it easily accommodates a wide variety of stemware, bar accessories, and cocktail ingredients. Graceful and glamorous, its curved silhouette is beautifully accentuated with gleaming chrome accents. A large, tempered glass top gives you plenty of prep space to mix delicious drinks for your guests. Complete with clear acrylic panels, this stylish unit allows you to show off your collection of fine wines and spirits in style.</p><p><b>Dimensions:</b> 50.75""w x 20""d x 41""h</p><ul><li>Chrome-finished metal support adds brightness and visual balance</li><li>Clear tempered glass top and shelf offer strength and a polished presentation</li><li>Freestanding home bar with curved frame and contemporary white finish</li><li>Integrated stemware rack and open shelving for barware and bottles</li><li>Clear acrylic panels create a sleek enclosure while keeping items visible</li><li>Built with acrylic, tempered glass, engineered wood, and chrome-plated steel</li></ul>",67.32,/v/vspfiles/photos/coaster bars/101066-1.jpg,N
182784,Topanga Engineered Wood Freestanding Home Bar Black,"<p>This home bar combines modern style with functionality, crafted from engineered wood and laminate veneer for a sleek, durable design. Perfect for entertaining, it features a wine bottle grid that holds up to 12 bottles, multiple open shelves for organization, and integrated metal stemware racks for hanging glasses securely. With its versatile storage solutions and sturdy construction, this bar is an ideal addition to any home, keeping your entertaining essentials stylishly organized and accessible.</p><p><b>Dimensions:</b> 47.25""w x 23.5""d x 43.5""h</p><ul><li>Multiple open shelves offer versatile storage for barware and accessories</li><li>Integrated metal stemware racks provide convenient glass storage</li><li>Wine bottle grid accommodates up to 12 bottles for easy organization</li><li>Crafted from engineered wood and laminate veneer for durability</li><li>Home bar in a sleek black finish for a bold, modern look</li><li>Perfect for creating a cozy, functional bar space in your home</li></ul>",138.4,/v/vspfiles/photos/coaster bars/182784-1.jpg,N
182785,Topanga Engineered Wood Freestanding Home Bar Mango,"<p>This home bar combines modern style with functionality, crafted from engineered wood and laminate veneer for a sleek, durable design. Perfect for entertaining, it features a wine bottle grid that holds up to 12 bottles, multiple open shelves for organization, and integrated metal stemware racks for hanging glasses securely. With its versatile storage solutions and sturdy construction, this bar is an ideal addition to any home, keeping your entertaining essentials stylishly organized and accessible.</p><p><b>Dimensions:</b> 47.25""w x 23.5""d x 43.5""h</p><ul><li>Home bar in a warm mango finish for a rustic, inviting aesthetic</li><li>Wine bottle grid accommodates up to 12 bottles for easy organization</li><li>Crafted from engineered wood and laminate veneer for durability</li><li>Perfect for creating a cozy, functional bar space in your home</li><li>Multiple open shelves offer versatile storage for barware and accessories</li><li>Integrated metal stemware racks provide convenient glass storage</li></ul>",138.4,/v/vspfiles/photos/coaster bars/182785-1.jpg,N
182786,Topanga Engineered Wood Freestanding Home Bar White,"<p>This home bar combines modern style with functionality, crafted from engineered wood and laminate veneer for a sleek, durable design. Perfect for entertaining, it features a wine bottle grid that holds up to 12 bottles, multiple open shelves for organization, and integrated metal stemware racks for hanging glasses securely. With its versatile storage solutions and sturdy construction, this bar is an ideal addition to any home, keeping your entertaining essentials stylishly organized and accessible.</p><p><b>Dimensions:</b> 47.25""w x 23.5""d x 43.5""h</p><ul><li>Home bar in a bright white finish for a clean, modern aesthetic</li><li>Multiple open shelves offer versatile storage for barware and accessories</li><li>Perfect for creating a cozy, functional bar space in your home</li><li>Integrated metal stemware racks provide convenient glass storage</li><li>Crafted from engineered wood and laminate veneer for durability</li><li>Wine bottle grid accommodates up to 12 bottles for easy organization</li></ul>",138.4,/v/vspfiles/photos/coaster bars/182786-1.jpg,N
182082,Mendoza 2-door Home Bar Cabinet Wine Storage Rustic Oak,"<p>This rustic bar cabinet features a striking herringbone pattern and a warm oak finish, perfect for enhancing any living or dining space. With ample bottle and stemware storage, it offers function and flair in equal measure. The mixed material construction and clean lines bring modern charm to your home entertaining setup.</p><p><b>Dimensions:</b> 31.5""w x 15.5""d x 62.5""h</p><ul><li>Integrated stemware rack and upper cubbies offer display and storage options</li><li>Transitional bar cabinet with classic herringbone front for timeless appeal</li><li>Finished in a rich rustic oak tone that complements modern and vintage decor</li><li>Built-in wine rack stores up to nine bottles within easy reach</li><li>Crafted from engineered wood with a durable, scratch-resistant veneer</li><li>Sleek gunmetal legs and hardware add industrial edge to its design</li></ul>",97.9,/v/vspfiles/photos/coaster bars/182082-1.jpg,N
