"ProductCode","ProductDescription"
"SS-AD400T","Ally Dining Table w/ Leaf by Steve Silver. Dimensions: 60 inL x 42 inD x 30 inH Includes the dining table and matching chairs shown in the catalog image. Features: ; ; ;."
"SS-AG150C","Mixed Media Occasional Cocktail Table by Steve Silver. Dimensions: 36 inW x 36 inD x 18 inH Features: Constructed of Silvershield Â® 3D PVC laminate top that resists scratches; heat and; Contemporary geometric design with square tops add architectural element to."
"SS-AG150E","Mixed Media Occasional End Table by Steve Silver. Dimensions: 23 inW x 23 inD x 23 inH Features: Constructed of Silvershield Â® 3D PVC laminate top that resists scratches; heat and; Contemporary geometric design with square tops add architectural element to."
"SS-ALEX-CHOC-PWR-SECT","Surrender to the embrace of the Alexandria Sectional, where the finest leather craftsmanship meets innovative design. Let the dayâ€™s stress melt away as you recline in opulence, feeling the cool and delicate touch of our specially dyed Chocolate leather. Perfectly neutral, this hue effortlessly elevates and matches any interior dÃ©cor. Tailored for those who refuse to compromise on comfort, our power footrest gently guides you to your perfect relaxation angle. Dive into the generous 7-inch seat cushions, masterfully padded for a plush seating experience. The sectionalâ€™s sleek, modern lines guarantee that you wonâ€™t have to trade style for coziness. Stay connected effortlessly. With built-in USB ports, the Alexandria ensures your devices remain powered, keeping you and your loved ones entertained. Ready to host? This 6-piece luxury set has room for everyone, ensuring shared moments are wrapped in unparalleled luxury."
"SS-ALEX-STONE-PWR-SECT","Surrender to the embrace of the Alexandria Sectional, where the finest leather craftsmanship meets innovative design. Let the dayâ€™s stress melt away as you recline in opulence, feeling the cool and delicate touch of our specially dyed Stone leather. Perfectly neutral, this hue effortlessly elevates and matches any interior dÃ©cor. Tailored for those who refuse to compromise on comfort, our power footrest gently guides you to your perfect relaxation angle. Dive into the generous 7-inch seat cushions, masterfully padded for a plush seating experience. The sectionalâ€™s sleek, modern lines guarantee that you wonâ€™t have to trade style for coziness. Stay connected effortlessly. With built-in USB ports, the Alexandria ensures your devices remain powered, keeping you and your loved ones entertained. Ready to host? This 6-piece luxury set has room for everyone, ensuring shared moments are wrapped in unparalleled luxury."
"SS-ALEXANDRIA-CHOCOLATE-80LOVE","Embrace refined comfort with the Alexandria Leather Reclining Console Loveseat. Upholstered in warm, versatile Chocolate leather, it complements any dÃ©cor with understated elegance. Enjoy a 143-degree power recline that works efficiently with just 3â€³ of wall clearance. Plush 7-inch cushions provide deep, supportive seating, while the center console adds practical storage. Stay connected with built-in USB ports. Designed for style and function, this loveseat brings modern convenience and timeless comfort together in one beautifully crafted piece."
"SS-ALEXANDRIA-CHOCOLATE-91SOFA","Redefine comfort with the Alexandria 3-Piece Reclining Sofa in Chocolate. Expertly upholstered in premium neutral leather, it blends seamlessly into any space with timeless appeal. Each end seat offers a smooth 143-degree power recline with just 3â€³ of wall clearance, ideal for modern living. Generous 7-inch cushions provide deep, supportive seating, while built-in USB ports keep your devices charged and close. Designed for style, function, and comfort, the Alexandria Sofa is your invitation to relax in effortless luxury."
"SS-ALEXANDRIA-CHOCOLATE-RECL","Create your own personal space of comfort with the Alexandria Power Recliner in Chocolate. Crafted with premium leather in a versatile, warm tone, it fits effortlessly into any room. The smooth power mechanism offers a 143-degree recline while needing only 3â€³ of wall clearanceâ€”ideal for space-conscious settings. Sink into 7-inch plush cushioning designed for full-body support. A built-in USB charger keeps your devices powered and close. Perfectly tailored and thoughtfully engineered, the Alexandria Recliner blends modern convenience with timeless relaxation."
"SS-ALEXANDRIA-STONE-80LOVE","Embrace refined comfort with the Alexandria Leather Reclining Console Loveseat. Upholstered in cool, versatile Stone leather, it complements any dÃ©cor with understated elegance. Enjoy a 143-degree power recline that works efficiently with just 3â€³ of wall clearance. Plush 7-inch cushions provide deep, supportive seating, while the center console adds practical storage. Stay connected with built-in USB ports. Designed for style and function, this loveseat brings modern convenience and timeless comfort together in one beautifully crafted piece."
"SS-ALEXANDRIA-STONE-91SOFA","Redefine comfort with the Alexandria 3-Piece Reclining Sofa in Stone. Expertly upholstered in premium neutral leather, it blends seamlessly into any space with timeless appeal. Each end seat offers a smooth 143-degree power recline with just 3â€³ of wall clearance, ideal for modern living. Generous 7-inch cushions provide deep, supportive seating, while built-in USB ports keep your devices charged and close. Designed for style, function, and comfort, the Alexandria Sofa is your invitation to relax in effortless luxury."
"SS-ALEXANDRIA-STONE-RECL","Create your own personal space of comfort with the Alexandria Power Recliner in Stone. Crafted with premium leather in a versatile, neutral tone, it fits effortlessly into any room. The smooth power mechanism offers a 143-degree recline while needing only 3â€³ of wall clearanceâ€”ideal for space-conscious settings. Sink into 7-inch plush cushioning designed for full-body support. A built-in USB charger keeps your devices powered and close. Perfectly tailored and thoughtfully engineered, the Alexandria Recliner blends modern convenience with timeless relaxation."
"SS-AM200C","Mixed Media Occasional Cocktail Table by Steve Silver. Dimensions: 48 inW x 28 inD x 18 inH Features: Constructed of basswood solids and veneers with distressed; rustic charcoal; Sturdy; rustic styling with combination of wood and metal finishes; Styling features include demilune stretchers connected in middle and."
"SS-AM200E","Mixed Media Occasional End Table by Steve Silver. Dimensions: 22 inW x 22 inD x 24 inH Features: Constructed of basswood solids and veneers with distressed; rustic charcoal; Sturdy; rustic styling with combination of wood and metal finishes; Styling features include demilune stretchers connected in middle and."
"SS-AR200C","Charlestown Lift Top Cocktail Table w/ Casters by Steve Silver. Dimensions: 48 inW x 28 inD x 21 inH Features: Constructed of hardwood solids and mango veneers in a medium cherry finish; Lift-top cocktail table features casters for easy mobility; Sturdy design and scale; Cocktail and end table offer bottom shelf for storage while complementing sofa."
"SS-AR200E","Charlestown End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 24 inH Features: Constructed of hardwood solids and mango veneers in a medium cherry finish; Lift-top cocktail table features casters for easy mobility; Sturdy design and scale; Cocktail and end table offer bottom shelf for storage while complementing sofa."
"SS-AR200TV","TV Stands TV Stand by Steve Silver. Dimensions: 64 inW x 17 inD x 20 inH Features: Crafted from hardwood solids and mango veneers; fortified by kiln-drying to better resist; The wood is hand-stained in a natural multi-step medium cherry finish to highlight the; Its low-profile design is crafted for the ideal TV viewing experience. Perfectly sized at 65; Two wire escape holes at the back keep cables tidy; promoting a sleek and organized look.."
"SS-AR500SB","Bar w/ Foot Rail by Steve Silver. Dimensions: 51 inW x 21 inD x 41 inH Features: Demilune mixed media bar; Features smoked tempered glass shelves and stemware rack; Decorative footrest with levelers."
"SS-AS700TC","Canton Dining Table w/ Leaf by Steve Silver. Dimensions: 60-78 inL x 42 inD x 30 inH Includes the dining table and matching chairs shown in the catalog image. Features: Table is constructed of acacia solids and ash veneers; Styling details include unique double top design with fancy face ash veneer layup on the table top; Chair has contemporary ladderback design and polyurethane upholstered seat for added comfort; Locking table leaf allows for expandibility for additional seating; Seating includes side chair and/or bench for seating flexibiliy; Antique charcoal finish."
"SS-AUB100KC","Auburn Coffee Table by Steve Silver. Dimensions: 48 inW x 28 inD x 18 inH Features: Expertly crafted of acacia veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Plastic glides keep the table from scratching floor; Wood cross stretchers provide enhanced stability and durability; ensuring long-lasting support for; The wood is hand-stained in a natural multi-step black finish with driftwood stretchers that highlights; Two-tone finish allows for mixing and matching with other finishes in the Auburn collection."
"SS-AUB100KE","Auburn End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 24 inH Features: Expertly crafted of acacia veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Plastic glides keep the table from scratching floor; Wood cross stretchers provide enhanced stability and durability; ensuring long-lasting support for; The wood is hand-stained in a natural multi-step black finish with driftwood stretchers that highlights; Two-tone finish allows for mixing and matching with other finishes in the Auburn collection."
"SS-AUB100NC","Auburn Coffee Table by Steve Silver. Dimensions: 48 inW x 28 inD x 18 inH Features: Expertly crafted of acacia veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Plastic glides keep the table from scratching floor; Wood cross stretchers provide enhanced stability and durability; ensuring long-lasting; The wood is hand-stained in a natural multi-step driftwood finish with black stretchers that; Two-tone finish allows for mixing and matching with other finishes in the Auburn collection."
"SS-AUB100NE","Auburn End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 24 inH Features: Expertly crafted of acacia veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Plastic glides keep the table from scratching floor; Wood cross stretchers provide enhanced stability and durability; ensuring long-lasting; The wood is hand-stained in a natural multi-step driftwood finish with black stretchers that; Two-tone finish allows for mixing and matching with other finishes in the Auburn collection."
"SS-AUB500SV","Auburn Server by Steve Silver. Dimensions: 71.25 inW x 19 inD x 38 inH Features: Crafted from Acacia veneers with Asian hardwoods and engineered woods; The table expands from 86 inches to 106 and 126 inches long with the addition of; Server has felt-lined drawer; 2 deep pull-out drawers; cubbies and 2 adj shelves; Wood scoring; finish rubthrough and worn edges technique adds a distressed look;; The chair has a 300 lb. weight capacity ensures durability and reliable support.; The wood is hand-stained in a natural multi-step burnished dark tobacco finish to."
"SS-AY200B","Adrian Buffet by Steve Silver. Dimensions: 69 inW x 21 inD x 35 inH Features: Constructed of hardwood solids and fancy face cherry veneers with maple and; Multiple design elements and carving details throughout the collection; Multi-step hand-applied glaze finish in a warm brown cherry; Chairs are constructed of upholstered polyurethane and feature antiqued brass; Shaped buffet with drawers and adjustable wood shelves is topped with a bonnet."
"SS-AY200H","Adrian Hutch by Steve Silver. Dimensions: 68 inW x 21 inD x 54 inH Features: Constructed of hardwood solids and fancy face cherry veneers with maple and; Multiple design elements and carving details throughout the collection; Multi-step hand-applied glaze finish in a warm brown cherry; Chairs are constructed of upholstered polyurethane and feature antiqued brass; Shaped buffet with drawers and adjustable wood shelves is topped with a bonnet."
"SS-AY200T","Adrian Dining Table w/ Leaf by Steve Silver. Dimensions: 48 inW x 96-120 inL x 30 inH Includes the dining table and matching chairs shown in the catalog image. Features: Constructed of hardwood solids and fancy face cherry veneers with maple and; Multiple design elements and carving details throughout the collection; Multi-step hand-applied glaze finish in a warm brown cherry; Chairs are constructed of upholstered polyurethane and feature antiqued brass; Shaped buffet with drawers and adjustable wood shelves is topped with a bonnet."
"SS-BARRON-65LOVE","Kick back in complete comfort with Barron, a manual reclining collection wrapped in easy-care brown vegan leather with plush Comfort Soft Foam, supportive high-resiliency seating, and clean modern styling made for everyday lounging.   Dimensions:  77.25 inW x 39 inD x 42.25 inH   Features:    Manual reclining motion  Easy-care vegan leather cover  Comfort Soft Foam seating  No-sag spring support  Console loveseat includes storage, charging, outlet, and cupholders"
"SS-BARRON-87SOFA","Kick back in complete comfort with Barron, a manual reclining collection wrapped in easy-care brown vegan leather with plush Comfort Soft Foam, supportive high-resiliency seating, and clean modern styling made for everyday lounging.   Dimensions:  87.5 inW x 39 inD x 42.25 inH   Features:    Manual reclining motion  Easy-care vegan leather cover  Comfort Soft Foam seating  No-sag spring support  Console loveseat includes storage, charging, outlet, and cupholders"
"SS-BARRON-RECL","Kick back in complete comfort with Barron, a manual reclining collection wrapped in easy-care brown vegan leather with plush Comfort Soft Foam, supportive high-resiliency seating, and clean modern styling made for everyday lounging.   Dimensions:  40.5 inW x 39.5 inD x 41 inH   Features:    Manual reclining motion  Easy-care vegan leather cover  Comfort Soft Foam seating  No-sag spring support  Console loveseat includes storage, charging, outlet, and cupholders"
"SS-BC900CTT","Bear Creek Chest by Steve Silver. Dimensions: 42 inW x 19 inD x 52 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC900DR","Bear Creek Dresser by Steve Silver. Dimensions: 66 inW x 19 inD x 38 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC900MR","Bear Creek Mirror by Steve Silver. Dimensions: 46 inW x 2 inD x 40 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC900NS","Bear Creek Nightstand by Steve Silver. Dimensions: 28 inW x 17 inD x 26 inH Features: Crafed from acacia hardwoods and veneers in a two-tone whitewashed grey; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC950CTBT","Bear Creek Chest by Steve Silver. Dimensions: 42 inW x 19 inD x 52 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC950DRB","Bear Creek Dresser by Steve Silver. Dimensions: 66 inW x 19 inD x 38 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC950KFB","A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation."
"SS-BC950MRB","Bear Creek Mirror by Steve Silver. Dimensions: 46 inW x 2 inD x 40 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC950NSB","Bear Creek Nightstand by Steve Silver. Dimensions: 28 inW x 17 inD x 26 inH Features: Crafted from acacia hardwoods and veneers in a two-tone tobacco and; Styling details rustic farmhouse design with chevron patterned headboard; Beds available in King or Queen sizes; Nightstand; Dresser and Chest feature deep; double-stacked drawers for."
"SS-BC950QFB","A rustic, farmhouse-inspired bed, Bear Creek features a chocolate finish that contrasts beautifully with honey-smoke stained tops and cap rails. The chevron patterned headboard and footboard is offered in King and Queen sizes and the bedroom collection offers a variety of storage items with ultra-deep drawers supported by side drawer glides for easy operation."
"SS-BEM500PT","Naples Storage Counter Table w/ Leaf by Steve Silver. Dimensions: 60-80 inL x 42 inD x 36 inH Includes the dining table and matching chairs shown in the catalog image. Features: Expertly crafted of acacia; veneers with acacia; mango and Asian hardwoods solids with; Storage counter base offers easy access for dining essentials with an open area for storage or; The 20-inch leaf for a 60-inch table expands it to 80 inches; comfortably seating up to eight people; Powder-coated metal front stretchers reinforce frame and reduce wear and tear; The wood is hand-stained in a natural multi-step black and dark acacia finish to highlight the."
"SS-BS850CG","Power Lift Chair w/ 3 Heat Zones Fabric by Steve Silver. Dimensions: 35 inW x 41 inD x 42.5 inH Features: Fabric covering in stone; Single Motor Power Lift Chair offers easy lift and power recline with handheld remote; Power Lift Chair controlled with handheld remote; Full Power Recline; Full Power Recline; 100% polyester fabric cover in beige provides a durable and easy-to-clean surface that; 3 Heat Zone; Sinuous wire spring construction."
"SS-BUR500NSV","Magnolia Server by Steve Silver. Dimensions: 70 inW x 18 inD x 32 inH Features: Servers are constructed of oak veneers; Asian hardwood solids and engineered woods; Styling details include cathedral glass doors for display and storage that allow design flexibility with; Wire escape in back and glass front doors allows for easy use as an entertainment piece; Two adjustable shelves offer versatile storage options to accommodate items of different sizes.; Adjustable glides level the server on uneven floors; Contrasting hardware and interiors add a captivating design element to the case.; The wood is hand-stained in a natural multi-step black; cocoa; sand; or blue - great for use as an."
"SS-BUR520NC","Napa Curio by Steve Silver. Dimensions: 39 inW x 18 inD x 79 inH Features: Table is constructed of solid Asian hardwoods; veneers and engineered wood; Styling details include rounded top with glass doors for beautiful display and storage and contrasting; Two adjustable shelves and one fixed shelf behind glass doors; one adjustable shelf in bottom; Adjustable glides level the curio on uneven floors; Contrasting hardware and interiors add a captivating design element to the case.; The wood is hand-stained in a natural multi-step sand; blue; black or brown - great for use as an."
"SS-CAN100KC","Canyon Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step black finish."
"SS-CAN100KE","Canyon End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step black finish."
"SS-CAN100NC","Canyon Cocktail Table w/ Casters 38 Inx38 Inx18 In End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step weathered sand finish to highlight the natural grain and."
"SS-CAN100NE","Canyon End Table by Steve Silver. Dimensions: 24 inW x 24 inD x 21 inH Features: Expertly crafted of oak veneers; Asian hardwood solids and engineered woods; Kiln-dried wood helps prevent warping; splitting; cracking and developing mildew.; Cocktail Table is castered with four independent wheels for easy movement away from reclining upholstery; Plastic glides on the End Table keep the table from scratching floor; 400 lb. weight capacity for the Cocktail Table | 300 lb. weight capacity for the End Table ensures durability; The wood is hand-stained in a natural multi-step weathered sand finish to highlight the natural grain and."
"SS-CAS900C","Cassie Illuminating Chest by Steve Silver. Dimensions: 52 inW x 17 inD x 48 inH Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate."
"SS-CAS900DR","Cassie Illuminating Dresser by Steve Silver. Dimensions: 58 inW x 17 inD x 35 inH Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate."
"SS-CAS900KFB","The Cassie King Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics."
"SS-CAS900M","Cassie Illuminating Mirror by Steve Silver. Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate."
"SS-CAS900NS","Cassie Illuminating Nightstand by Steve Silver. Dimensions: 21 inW x 17 inD x 24 inH Features: Crafted of engineered woods and Asian hardwood solids in a shimmering pearl; Crystal in-laid borders sparkle with glam elegance and illuminate with a warm; USB and USB-C ports on both sides of the headboard for convenient charging; 5-slat support system with dual center supports for superior mattress stability; Felt-lined top drawers on all storage pieces protect delicate items; Finished drawer sides and bottoms provide snag-free storage for delicate."
"SS-CAS900QFB","The Cassie Queen Bed transforms your bedroom into a haven of glam chic. Its shimmering pearl finish is accentuated by crystal inlaid borders at the top and bottom, adding a radiant touch. The headboard features an illuminating border that, with the flip of a switch, creates a captivating ambiance and doubles as a practical reading light. Beyond its stunning appearance, the bed is equipped with built-in USB/USB-C chargers on each side, offering convenient organization and charging for your electronics. CASSIE KING 4 PIECE BEDROOM SET"
"SS-CM150C","Mixed Media Occasional Cocktail Table w/ Casters by Steve Silver. Dimensions: 35 inW x 35 inD x 18 inH Features: Collection features rounded tops in Silvershield Â® 3D PVC laminate that resists; Cocktail table has casters for easy mobility; Bottom shelf allows additional space for display or storage."
"SS-CM150E","Mixed Media Occasional End Table by Steve Silver. Dimensions: 23 inW x 23 inD x 23 inH Features: Collection features rounded tops in Silvershield Â® 3D PVC laminate that resists; Cocktail table has casters for easy mobility; Bottom shelf allows additional space for display or storage."
